date;eva green;Sex Pistols;Italian food and drink;Elton John;air travel;isPartial
2022-01-02;3;3;0;39;9;False
2022-01-09;2;2;0;33;11;False
2022-01-16;2;3;0;23;8;False
2022-01-23;3;3;0;31;9;False
2022-01-30;2;3;0;26;10;False
2022-02-06;2;3;0;24;10;False
2022-02-13;2;3;0;21;10;False
2022-02-20;2;3;0;29;10;False
2022-02-27;1;2;0;28;9;False
2022-03-06;2;2;0;21;9;False
2022-03-13;1;2;0;19;9;False
2022-03-20;3;3;0;64;9;False
2022-03-27;2;3;0;27;10;False
2022-04-03;1;4;0;19;9;False
2022-04-10;2;4;0;19;8;False
2022-04-17;3;3;0;22;8;False
2022-04-24;3;3;0;20;9;False
2022-05-01;2;8;0;22;9;False
2022-05-08;2;5;0;19;9;False
2022-05-15;5;6;0;22;10;False
2022-05-22;3;13;0;24;9;False
2022-05-29;2;68;0;83;9;False
2022-06-05;2;48;0;53;10;False
2022-06-12;2;29;0;80;9;False
2022-06-19;2;20;0;100;8;False
2022-06-26;2;13;0;74;9;False
2022-07-03;2;10;0;41;10;False
2022-07-10;2;8;0;18;10;False
2022-07-17;2;7;0;17;9;False
2022-07-24;2;7;0;18;9;False
2022-07-31;2;5;0;17;8;False
2022-08-07;2;5;0;22;8;False
2022-08-14;2;5;0;17;8;False
2022-08-21;2;5;0;38;7;False
2022-08-28;2;5;0;30;8;False
2022-09-04;1;10;0;24;8;False
2022-09-11;2;8;0;18;7;False
2022-09-18;1;5;0;24;7;False
2022-09-25;1;4;0;22;7;False
2022-10-02;2;4;0;25;7;False
2022-10-09;2;3;0;20;7;False
2022-10-16;4;3;0;16;6;False
2022-10-23;2;4;0;17;6;False
2022-10-30;2;3;0;17;6;False
2022-11-06;2;4;0;19;6;False
2022-11-13;2;4;0;20;5;False
2022-11-20;3;2;0;23;7;False
2022-11-27;3;4;0;40;6;False
2022-12-04;3;2;0;24;5;False
2022-12-11;7;3;0;26;6;False
2022-12-18;3;4;0;30;5;False
2022-12-25;2;6;0;32;7;False
2023-01-01;2;5;0;23;8;False
2023-01-08;2;4;0;20;7;False
2023-01-15;2;4;0;19;7;False
2023-01-22;12;3;0;19;7;False
2023-01-29;23;4;0;17;7;False
