date;Family holidays;Diwali;voter id;Gareth Southgate;air travel;isPartial
2022-01-02;6;2;0;1;3;False
2022-01-09;6;2;0;1;3;False
2022-01-16;5;1;0;0;2;False
2022-01-23;5;1;0;0;3;False
2022-01-30;5;1;0;0;3;False
2022-02-06;4;1;0;0;3;False
2022-02-13;4;1;0;0;3;False
2022-02-20;5;1;0;0;3;False
2022-02-27;4;1;0;0;3;False
2022-03-06;4;1;0;0;3;False
2022-03-13;4;2;0;0;3;False
2022-03-20;4;1;0;1;3;False
2022-03-27;4;1;0;1;3;False
2022-04-03;5;1;0;0;3;False
2022-04-10;5;1;0;0;2;False
2022-04-17;5;1;0;0;2;False
2022-04-24;5;1;0;0;3;False
2022-05-01;5;2;0;0;3;False
2022-05-08;5;1;0;0;3;False
2022-05-15;5;1;0;0;3;False
2022-05-22;5;1;0;1;3;False
2022-05-29;5;1;0;1;3;False
2022-06-05;5;1;0;2;3;False
2022-06-12;5;1;0;3;3;False
2022-06-19;5;2;0;0;2;False
2022-06-26;5;2;0;0;3;False
2022-07-03;5;2;0;0;3;False
2022-07-10;5;2;0;0;3;False
2022-07-17;4;2;0;0;3;False
2022-07-24;5;2;0;0;3;False
2022-07-31;5;2;0;1;2;False
2022-08-07;5;3;0;0;2;False
2022-08-14;4;3;0;0;2;False
2022-08-21;4;3;0;0;2;False
2022-08-28;4;4;0;0;2;False
2022-09-04;4;6;0;0;2;False
2022-09-11;4;7;0;1;2;False
2022-09-18;3;8;0;2;2;False
2022-09-25;3;10;0;3;2;False
2022-10-02;3;16;0;1;2;False
2022-10-09;3;25;0;0;2;False
2022-10-16;3;50;0;1;2;False
2022-10-23;3;100;0;1;2;False
2022-10-30;2;9;0;1;2;False
2022-11-06;2;5;0;2;2;False
2022-11-13;2;3;0;2;2;False
2022-11-20;2;2;0;6;2;False
2022-11-27;2;2;0;5;2;False
2022-12-04;2;1;0;9;2;False
2022-12-11;2;2;0;9;2;False
2022-12-18;2;1;0;3;2;False
2022-12-25;6;2;0;1;2;False
2023-01-01;8;2;0;0;2;False
2023-01-08;7;2;2;0;2;False
2023-01-15;6;1;2;0;2;False
2023-01-22;5;1;1;1;2;False
2023-01-29;5;1;1;0;2;False
