date;Uluru statement from the heart;Next;Public sector careers;G7;air travel;isPartial
2022-01-02;0;72;0;1;1;False
2022-01-09;0;66;0;0;1;False
2022-01-16;0;65;0;1;1;False
2022-01-23;0;65;0;1;1;False
2022-01-30;0;70;0;1;1;False
2022-02-06;0;67;0;0;1;False
2022-02-13;0;63;0;0;1;False
2022-02-20;0;68;0;1;1;False
2022-02-27;0;64;0;1;1;False
2022-03-06;0;68;0;1;1;False
2022-03-13;0;71;0;1;1;False
2022-03-20;0;71;0;1;1;False
2022-03-27;0;82;0;1;1;False
2022-04-03;0;69;0;1;1;False
2022-04-10;0;73;0;0;0;False
2022-04-17;0;74;0;0;1;False
2022-04-24;0;70;0;0;1;False
2022-05-01;0;71;0;0;1;False
2022-05-08;0;68;0;1;1;False
2022-05-15;0;74;0;1;1;False
2022-05-22;0;74;0;0;1;False
2022-05-29;0;73;0;0;1;False
2022-06-05;0;72;0;0;1;False
2022-06-12;0;77;0;0;1;False
2022-06-19;0;71;0;1;1;False
2022-06-26;0;70;0;2;1;False
2022-07-03;0;87;0;1;1;False
2022-07-10;0;82;0;1;1;False
2022-07-17;0;78;0;0;1;False
2022-07-24;0;73;0;0;1;False
2022-07-31;0;80;0;0;1;False
2022-08-07;0;77;0;0;1;False
2022-08-14;0;74;0;0;1;False
2022-08-21;0;71;0;0;0;False
2022-08-28;0;77;0;1;0;False
2022-09-04;0;79;0;1;1;False
2022-09-11;0;73;0;0;0;False
2022-09-18;0;80;0;0;0;False
2022-09-25;0;81;0;1;0;False
2022-10-02;0;79;0;0;0;False
2022-10-09;0;71;0;1;0;False
2022-10-16;0;74;0;1;0;False
2022-10-23;0;76;0;1;0;False
2022-10-30;0;73;0;1;0;False
2022-11-06;0;70;0;1;0;False
2022-11-13;0;74;0;1;0;False
2022-11-20;0;87;0;1;0;False
2022-11-27;0;94;0;1;0;False
2022-12-04;0;97;0;0;0;False
2022-12-11;0;85;0;0;0;False
2022-12-18;0;94;0;0;0;False
2022-12-25;0;100;0;0;0;False
2023-01-01;0;68;0;0;1;False
2023-01-08;0;61;0;1;0;False
2023-01-15;0;64;0;0;0;False
2023-01-22;0;63;0;0;0;False
2023-01-29;0;63;0;1;0;False
