date;Grammys;Quantitative easing;Heritage;Lamb;air travel;isPartial
2022-01-02;1;0;22;52;4;False
2022-01-09;1;0;21;49;4;False
2022-01-16;1;0;20;46;3;False
2022-01-23;1;0;23;45;4;False
2022-01-30;1;1;23;50;4;False
2022-02-06;2;0;23;44;4;False
2022-02-13;1;0;24;46;4;False
2022-02-20;1;0;22;48;4;False
2022-02-27;1;0;22;45;4;False
2022-03-06;1;0;22;46;4;False
2022-03-13;1;1;23;45;4;False
2022-03-20;1;1;24;56;4;False
2022-03-27;6;0;24;47;4;False
2022-04-03;39;0;25;52;4;False
2022-04-10;2;0;32;100;3;False
2022-04-17;2;0;28;87;3;False
2022-04-24;1;0;24;43;4;False
2022-05-01;1;1;28;49;4;False
2022-05-08;1;0;25;38;4;False
2022-05-15;1;1;24;38;4;False
2022-05-22;1;0;24;34;4;False
2022-05-29;0;1;25;41;4;False
2022-06-05;1;1;24;39;4;False
2022-06-12;1;0;25;37;4;False
2022-06-19;1;0;25;35;3;False
2022-06-26;1;0;22;38;4;False
2022-07-03;1;0;24;36;4;False
2022-07-10;0;0;24;36;4;False
2022-07-17;1;0;26;34;4;False
2022-07-24;1;0;33;39;4;False
2022-07-31;0;0;28;37;3;False
2022-08-07;1;0;31;44;3;False
2022-08-14;1;0;27;44;3;False
2022-08-21;1;0;26;43;3;False
2022-08-28;1;0;31;44;3;False
2022-09-04;1;0;32;45;3;False
2022-09-11;1;0;29;43;3;False
2022-09-18;0;0;23;47;3;False
2022-09-25;1;1;22;44;3;False
2022-10-02;1;0;24;44;3;False
2022-10-09;1;0;22;45;3;False
2022-10-16;1;0;23;45;2;False
2022-10-23;1;0;25;47;2;False
2022-10-30;1;1;21;50;2;False
2022-11-06;1;0;21;47;3;False
2022-11-13;4;0;21;48;2;False
2022-11-20;1;0;23;42;3;False
2022-11-27;1;0;27;43;3;False
2022-12-04;1;0;20;46;2;False
2022-12-11;1;0;18;50;2;False
2022-12-18;1;0;18;67;2;False
2022-12-25;1;0;19;85;3;False
2023-01-01;1;0;20;55;3;False
2023-01-08;1;0;21;48;3;False
2023-01-15;1;0;21;46;3;False
2023-01-22;2;0;21;46;3;False
2023-01-29;4;0;22;48;3;False
