date;Star Wars;Universal Music;US unions;Malaysia;air travel;isPartial
2022-01-02;0;1;0;11;4;False
2022-01-09;0;1;0;10;4;False
2022-01-16;0;1;0;10;3;False
2022-01-23;52;0;0;11;3;False
2022-01-30;0;1;0;10;4;False
2022-02-06;0;1;0;11;4;False
2022-02-13;0;1;0;9;4;False
2022-02-20;0;1;0;11;4;False
2022-02-27;0;1;0;11;4;False
2022-03-06;50;0;0;11;4;False
2022-03-13;0;1;0;12;4;False
2022-03-20;0;0;0;12;4;False
2022-03-27;0;1;0;12;4;False
2022-04-03;96;1;0;12;4;False
2022-04-10;0;0;0;12;3;False
2022-04-17;71;1;0;11;3;False
2022-04-24;0;1;0;12;3;False
2022-05-01;0;1;0;11;4;False
2022-05-08;0;1;0;12;4;False
2022-05-15;57;0;0;12;4;False
2022-05-22;0;1;0;11;4;False
2022-05-29;100;0;0;13;4;False
2022-06-05;0;1;0;11;4;False
2022-06-12;0;0;0;12;4;False
2022-06-19;0;1;0;11;3;False
2022-06-26;68;1;0;12;4;False
2022-07-03;0;1;0;11;4;False
2022-07-10;50;1;0;13;4;False
2022-07-17;45;1;0;12;4;False
2022-07-24;0;1;0;13;4;False
2022-07-31;0;1;0;13;3;False
2022-08-07;0;0;0;12;3;False
2022-08-14;35;0;0;11;3;False
2022-08-21;0;0;0;12;3;False
2022-08-28;0;0;0;12;3;False
2022-09-04;36;0;0;11;3;False
2022-09-11;39;0;0;12;3;False
2022-09-18;0;1;0;12;3;False
2022-09-25;45;1;0;12;3;False
2022-10-02;0;1;0;12;3;False
2022-10-09;0;1;0;12;3;False
2022-10-16;41;1;0;12;2;False
2022-10-23;0;1;0;12;2;False
2022-10-30;41;1;0;12;2;False
2022-11-06;0;1;0;12;2;False
2022-11-13;0;1;0;14;2;False
2022-11-20;41;0;0;14;3;False
2022-11-27;0;1;0;12;3;False
2022-12-04;49;1;0;10;2;False
2022-12-11;47;0;0;12;2;False
2022-12-18;0;0;0;12;2;False
2022-12-25;0;0;0;12;3;False
2023-01-01;47;0;0;13;3;False
2023-01-08;0;1;0;13;3;False
2023-01-15;0;1;0;13;3;False
2023-01-22;41;1;0;12;3;False
2023-01-29;0;1;0;12;3;False
