date;education;Bill Nighy;Rachel Reeves;Czechoslovakia;air travel;isPartial
2022-01-02;72;1;0;1;4;False
2022-01-09;94;1;1;1;5;False
2022-01-16;79;1;1;1;3;False
2022-01-23;82;1;1;1;4;False
2022-01-30;86;1;1;1;4;False
2022-02-06;76;1;0;1;4;False
2022-02-13;68;1;0;1;4;False
2022-02-20;75;1;0;3;4;False
2022-02-27;68;1;0;2;4;False
2022-03-06;80;1;0;1;4;False
2022-03-13;76;1;0;1;4;False
2022-03-20;73;1;2;1;4;False
2022-03-27;79;1;1;1;4;False
2022-04-03;71;1;0;1;4;False
2022-04-10;54;2;1;1;3;False
2022-04-17;65;1;0;1;4;False
2022-04-24;81;1;1;1;4;False
2022-05-01;75;1;1;1;4;False
2022-05-08;100;1;0;1;4;False
2022-05-15;87;1;0;1;4;False
2022-05-22;79;2;1;1;4;False
2022-05-29;48;1;0;0;4;False
2022-06-05;75;1;0;1;4;False
2022-06-12;75;1;1;1;4;False
2022-06-19;70;1;0;1;4;False
2022-06-26;69;1;0;1;4;False
2022-07-03;78;1;1;1;4;False
2022-07-10;69;1;0;1;4;False
2022-07-17;57;1;0;1;4;False
2022-07-24;51;1;1;1;4;False
2022-07-31;49;1;0;0;4;False
2022-08-07;49;1;0;1;3;False
2022-08-14;55;1;0;1;3;False
2022-08-21;58;1;0;1;3;False
2022-08-28;61;1;0;1;3;False
2022-09-04;80;1;0;1;4;False
2022-09-11;81;1;0;1;3;False
2022-09-18;74;1;1;1;3;False
2022-09-25;77;1;5;1;3;False
2022-10-02;78;1;2;1;3;False
2022-10-09;81;1;1;1;3;False
2022-10-16;76;1;2;1;3;False
2022-10-23;74;3;1;1;2;False
2022-10-30;73;5;0;1;2;False
2022-11-06;85;7;0;1;3;False
2022-11-13;78;4;4;1;2;False
2022-11-20;65;3;1;1;3;False
2022-11-27;67;3;0;1;3;False
2022-12-04;66;2;1;1;2;False
2022-12-11;69;3;0;1;2;False
2022-12-18;48;3;0;1;2;False
2022-12-25;40;3;0;1;3;False
2023-01-01;67;2;1;1;3;False
2023-01-08;83;2;1;1;3;False
2023-01-15;91;2;1;1;3;False
2023-01-22;86;4;1;1;3;False
2023-01-29;83;2;0;1;3;False
