date;Theatre;Victoria;colin farrell;Post Office;air travel;isPartial
2022-01-02;79;64;1;87;2;False
2022-01-09;77;67;2;67;2;False
2022-01-16;77;69;1;58;2;False
2022-01-23;87;66;1;63;2;False
2022-01-30;92;68;1;66;2;False
2022-02-06;90;67;1;62;2;False
2022-02-13;88;68;1;64;2;False
2022-02-20;90;70;1;61;2;False
2022-02-27;87;68;3;67;2;False
2022-03-06;85;70;5;63;2;False
2022-03-13;82;66;2;63;2;False
2022-03-20;83;70;2;70;2;False
2022-03-27;80;63;1;64;2;False
2022-04-03;76;71;1;68;2;False
2022-04-10;69;71;1;84;2;False
2022-04-17;70;66;2;72;2;False
2022-04-24;76;57;2;68;2;False
2022-05-01;79;70;1;80;2;False
2022-05-08;72;62;1;73;2;False
2022-05-15;73;67;1;72;2;False
2022-05-22;74;68;1;73;2;False
2022-05-29;73;86;1;93;2;False
2022-06-05;72;71;1;82;2;False
2022-06-12;73;73;1;77;2;False
2022-06-19;69;70;1;72;2;False
2022-06-26;73;69;1;76;2;False
2022-07-03;71;68;1;76;2;False
2022-07-10;69;64;1;83;2;False
2022-07-17;69;68;1;75;2;False
2022-07-24;76;69;1;74;2;False
2022-07-31;72;71;1;78;2;False
2022-08-07;68;70;1;72;2;False
2022-08-14;66;68;1;68;2;False
2022-08-21;72;68;1;77;2;False
2022-08-28;77;66;1;78;2;False
2022-09-04;77;79;1;78;2;False
2022-09-11;77;87;1;78;2;False
2022-09-18;77;88;1;72;1;False
2022-09-25;87;70;1;73;2;False
2022-10-02;89;71;1;78;1;False
2022-10-09;85;68;2;71;1;False
2022-10-16;89;73;3;71;1;False
2022-10-23;89;80;3;71;1;False
2022-10-30;88;65;2;65;1;False
2022-11-06;91;79;1;66;1;False
2022-11-13;85;70;1;62;1;False
2022-11-20;86;72;1;66;1;False
2022-11-27;87;74;1;78;1;False
2022-12-04;88;67;1;84;1;False
2022-12-11;86;66;1;89;1;False
2022-12-18;100;68;2;82;1;False
2022-12-25;89;64;3;86;1;False
2023-01-01;88;67;2;79;2;False
2023-01-08;86;70;4;63;2;False
2023-01-15;88;66;3;70;2;False
2023-01-22;91;65;3;68;1;False
2023-01-29;92;68;2;70;2;False
