date;UK security and counter-terrorism;Media law;Sexual health;Banks and building societies;air travel;isPartial
2022-01-02;0;4;96;0;41;False
2022-01-09;0;4;98;0;47;False
2022-01-16;0;3;87;1;35;False
2022-01-23;0;5;99;0;38;False
2022-01-30;0;5;99;0;44;False
2022-02-06;0;4;96;1;43;False
2022-02-13;0;3;88;0;44;False
2022-02-20;0;3;90;0;44;False
2022-02-27;0;4;96;0;39;False
2022-03-06;0;4;92;0;41;False
2022-03-13;0;5;91;0;41;False
2022-03-20;0;5;91;1;40;False
2022-03-27;0;4;89;1;42;False
2022-04-03;0;3;84;0;39;False
2022-04-10;0;3;81;0;33;False
2022-04-17;0;4;85;0;37;False
2022-04-24;0;3;86;0;38;False
2022-05-01;0;4;89;0;39;False
2022-05-08;0;5;99;0;40;False
2022-05-15;0;6;93;2;42;False
2022-05-22;0;4;88;0;40;False
2022-05-29;0;3;77;0;41;False
2022-06-05;0;2;100;0;45;False
2022-06-12;0;4;95;0;41;False
2022-06-19;0;3;90;0;37;False
2022-06-26;0;5;91;0;39;False
2022-07-03;0;2;80;1;42;False
2022-07-10;0;3;98;0;43;False
2022-07-17;0;3;77;0;41;False
2022-07-24;0;2;97;1;41;False
2022-07-31;0;3;93;1;36;False
2022-08-07;0;3;93;0;35;False
2022-08-14;0;4;83;1;35;False
2022-08-21;0;3;86;1;30;False
2022-08-28;0;3;85;0;33;False
2022-09-04;0;4;87;0;36;False
2022-09-11;0;3;89;1;31;False
2022-09-18;0;6;88;0;31;False
2022-09-25;0;3;95;1;31;False
2022-10-02;0;3;96;1;30;False
2022-10-09;0;4;91;1;29;False
2022-10-16;0;3;75;1;26;False
2022-10-23;0;3;82;0;24;False
2022-10-30;0;3;86;0;24;False
2022-11-06;0;6;92;0;27;False
2022-11-13;0;5;86;0;22;False
2022-11-20;0;5;80;1;28;False
2022-11-27;0;4;74;1;27;False
2022-12-04;0;4;72;0;23;False
2022-12-11;0;3;73;0;24;False
2022-12-18;0;3;70;1;23;False
2022-12-25;0;2;58;1;30;False
2023-01-01;0;3;89;1;35;False
2023-01-08;0;4;89;1;32;False
2023-01-15;0;5;92;1;31;False
2023-01-22;0;5;94;0;29;False
2023-01-29;0;4;95;1;31;False
