date;Brandi Carlile;Edward Elgar;Essendon;Gender;air travel;isPartial
2022-01-02;2;0;1;65;11;False
2022-01-09;2;1;1;68;12;False
2022-01-16;1;0;1;63;9;False
2022-01-23;1;0;1;67;10;False
2022-01-30;1;0;1;65;11;False
2022-02-06;0;0;1;72;11;False
2022-02-13;1;0;1;66;11;False
2022-02-20;1;0;1;76;11;False
2022-02-27;0;1;1;73;10;False
2022-03-06;1;1;1;100;11;False
2022-03-13;1;0;1;75;11;False
2022-03-20;1;0;1;79;10;False
2022-03-27;1;0;1;91;11;False
2022-04-03;2;1;1;75;10;False
2022-04-10;1;0;1;61;9;False
2022-04-17;1;0;1;70;10;False
2022-04-24;1;0;1;93;10;False
2022-05-01;1;0;1;78;10;False
2022-05-08;0;0;1;81;10;False
2022-05-15;1;0;1;81;11;False
2022-05-22;0;1;1;67;10;False
2022-05-29;1;0;1;57;11;False
2022-06-05;0;0;1;70;12;False
2022-06-12;0;0;1;70;10;False
2022-06-19;0;0;1;65;10;False
2022-06-26;1;0;1;63;10;False
2022-07-03;0;0;1;63;11;False
2022-07-10;1;0;1;62;11;False
2022-07-17;0;0;1;53;11;False
2022-07-24;3;1;1;59;11;False
2022-07-31;1;0;1;55;9;False
2022-08-07;1;0;1;58;9;False
2022-08-14;0;1;1;49;9;False
2022-08-21;1;0;1;56;8;False
2022-08-28;1;0;1;52;9;False
2022-09-04;0;1;1;52;9;False
2022-09-11;0;1;1;54;8;False
2022-09-18;0;1;1;52;8;False
2022-09-25;1;0;1;61;8;False
2022-10-02;1;0;1;61;8;False
2022-10-09;1;0;1;59;7;False
2022-10-16;1;1;0;60;7;False
2022-10-23;0;0;1;61;6;False
2022-10-30;0;1;1;64;6;False
2022-11-06;1;0;1;66;7;False
2022-11-13;3;1;1;66;6;False
2022-11-20;1;0;1;60;7;False
2022-11-27;1;0;1;63;7;False
2022-12-04;1;1;1;60;6;False
2022-12-11;1;0;0;56;6;False
2022-12-18;1;0;0;84;6;False
2022-12-25;1;1;0;52;8;False
2023-01-01;1;0;1;66;9;False
2023-01-08;1;0;0;75;8;False
2023-01-15;1;0;1;97;8;False
2023-01-22;1;1;1;79;7;False
2023-01-29;1;0;1;71;8;False
