date;Shopping;Jordan Peterson;Nebraska;Sound art;air travel;isPartial
2022-01-02;67;3;1;0;3;False
2022-01-09;57;3;1;0;3;False
2022-01-16;53;3;1;0;2;False
2022-01-23;57;5;1;0;3;False
2022-01-30;64;4;1;0;3;False
2022-02-06;54;3;1;0;3;False
2022-02-13;62;3;1;0;3;False
2022-02-20;65;3;1;0;3;False
2022-02-27;57;2;1;0;3;False
2022-03-06;59;2;1;0;3;False
2022-03-13;61;2;1;0;3;False
2022-03-20;65;2;1;0;3;False
2022-03-27;63;2;1;0;3;False
2022-04-03;62;3;1;0;3;False
2022-04-10;71;2;1;0;2;False
2022-04-17;65;2;1;0;3;False
2022-04-24;61;2;1;0;3;False
2022-05-01;69;2;1;0;3;False
2022-05-08;57;3;1;0;3;False
2022-05-15;60;5;1;0;3;False
2022-05-22;55;3;1;0;3;False
2022-05-29;76;3;1;0;3;False
2022-06-05;61;2;1;0;3;False
2022-06-12;62;2;1;0;3;False
2022-06-19;64;2;1;0;3;False
2022-06-26;69;5;1;0;3;False
2022-07-03;62;5;1;0;3;False
2022-07-10;66;4;1;0;3;False
2022-07-17;71;3;1;0;3;False
2022-07-24;70;3;1;0;3;False
2022-07-31;72;3;1;0;3;False
2022-08-07;70;3;1;0;2;False
2022-08-14;63;3;1;0;2;False
2022-08-21;71;3;2;0;2;False
2022-08-28;72;3;1;0;2;False
2022-09-04;61;5;1;0;2;False
2022-09-11;67;9;1;0;2;False
2022-09-18;64;4;1;0;2;False
2022-09-25;69;7;1;0;2;False
2022-10-02;67;6;1;0;2;False
2022-10-09;64;4;1;0;2;False
2022-10-16;69;3;1;0;2;False
2022-10-23;79;4;1;0;2;False
2022-10-30;65;3;1;0;2;False
2022-11-06;75;3;1;0;2;False
2022-11-13;78;4;1;0;2;False
2022-11-20;76;4;1;0;2;False
2022-11-27;84;3;1;0;2;False
2022-12-04;78;3;1;0;2;False
2022-12-11;87;3;1;0;2;False
2022-12-18;100;3;1;0;2;False
2022-12-25;89;4;1;0;2;False
2023-01-01;71;5;1;0;2;False
2023-01-08;54;4;1;0;2;False
2023-01-15;56;4;1;0;2;False
2023-01-22;54;3;1;0;2;False
2023-01-29;59;4;1;0;2;False
