date;Chuck Schumer;Carers;Daily Mail;Research;air travel;isPartial
2023-01-01;0;2;87;6;1;False
2023-01-02;0;3;85;8;1;False
2023-01-03;0;4;80;10;0;False
2023-01-04;0;4;85;12;1;False
2023-01-05;0;4;87;12;1;False
2023-01-06;0;4;100;11;1;False
2023-01-07;0;2;78;8;0;False
2023-01-08;0;3;88;9;1;False
2023-01-09;0;4;86;13;0;False
2023-01-10;0;5;85;14;1;False
2023-01-11;0;4;87;13;1;False
2023-01-12;0;4;89;14;1;False
2023-01-13;0;4;77;11;0;False
2023-01-14;0;3;77;7;0;False
2023-01-15;0;3;74;9;1;False
2023-01-16;0;4;86;13;1;False
2023-01-17;0;4;89;13;0;False
2023-01-18;0;4;82;14;1;False
2023-01-19;0;4;83;13;1;False
2023-01-20;0;4;81;11;0;False
2023-01-21;0;3;78;7;0;False
2023-01-22;0;3;77;8;1;False
2023-01-23;0;4;83;14;1;False
2023-01-24;0;4;80;14;0;False
2023-01-25;0;4;80;14;1;False
2023-01-26;0;4;77;12;1;False
2023-01-27;0;3;69;11;0;False
2023-01-28;0;2;73;7;1;False
2023-01-29;0;2;76;8;0;False
2023-01-30;0;5;88;14;1;False
2023-01-31;0;4;82;14;1;False
