date;Charitable giving;British army;Lidia Thorpe;Sharon Olds;air travel;isPartial
2022-01-02;1;46;1;1;26;False
2022-01-09;0;50;0;0;30;False
2022-01-16;0;50;0;0;23;False
2022-01-23;1;57;0;0;25;False
2022-01-30;1;54;0;0;29;False
2022-02-06;1;49;0;0;28;False
2022-02-13;0;52;0;0;29;False
2022-02-20;1;100;0;0;29;False
2022-02-27;0;80;0;0;25;False
2022-03-06;1;67;0;0;27;False
2022-03-13;0;57;0;0;26;False
2022-03-20;0;52;0;0;26;False
2022-03-27;1;50;0;0;27;False
2022-04-03;1;51;0;0;25;False
2022-04-10;1;47;0;0;22;False
2022-04-17;0;43;0;0;24;False
2022-04-24;1;49;0;0;25;False
2022-05-01;1;50;0;0;26;False
2022-05-08;2;49;0;0;26;False
2022-05-15;1;47;0;0;27;False
2022-05-22;0;45;0;0;26;False
2022-05-29;1;58;1;0;26;False
2022-06-05;1;50;0;0;30;False
2022-06-12;1;48;0;0;27;False
2022-06-19;0;59;0;0;24;False
2022-06-26;1;58;0;0;26;False
2022-07-03;0;56;0;0;27;False
2022-07-10;1;45;0;0;28;False
2022-07-17;0;44;0;0;27;False
2022-07-24;0;45;0;0;27;False
2022-07-31;0;42;13;0;24;False
2022-08-07;0;44;0;0;23;False
2022-08-14;1;38;0;0;23;False
2022-08-21;0;41;0;0;20;False
2022-08-28;0;41;1;0;22;False
2022-09-04;1;50;1;0;24;False
2022-09-11;0;65;0;1;20;False
2022-09-18;0;84;2;0;20;False
2022-09-25;0;44;0;0;20;False
2022-10-02;0;49;0;0;19;False
2022-10-09;0;44;0;0;19;False
2022-10-16;0;47;1;0;17;False
2022-10-23;1;44;1;0;16;False
2022-10-30;1;46;0;0;16;False
2022-11-06;1;59;0;0;18;False
2022-11-13;1;49;1;0;15;False
2022-11-20;1;37;0;0;18;False
2022-11-27;0;42;0;0;18;False
2022-12-04;1;40;0;0;15;False
2022-12-11;1;38;0;0;16;False
2022-12-18;0;39;0;0;15;False
2022-12-25;0;40;0;1;20;False
2023-01-01;1;46;0;0;23;False
2023-01-08;1;46;0;1;21;False
2023-01-15;1;49;0;0;21;False
2023-01-22;1;48;0;0;19;False
2023-01-29;1;59;0;0;20;False
