date;Express Newspapers;Lecce;Mohammed bin Salman;terrorism;air travel;isPartial
2022-01-02;3;14;7;69;90;False
2022-01-09;3;14;5;80;98;False
2022-01-16;2;34;3;75;77;False
2022-01-23;3;18;4;82;84;False
2022-01-30;1;12;3;64;95;False
2022-02-06;1;12;3;81;96;False
2022-02-13;2;17;3;68;96;False
2022-02-20;4;19;7;77;98;False
2022-02-27;4;18;4;82;86;False
2022-03-06;3;13;8;78;90;False
2022-03-13;3;20;17;77;90;False
2022-03-20;4;15;13;78;88;False
2022-03-27;2;18;4;75;93;False
2022-04-03;1;19;3;63;85;False
2022-04-10;7;20;3;64;74;False
2022-04-17;3;19;5;63;82;False
2022-04-24;2;22;3;76;84;False
2022-05-01;2;29;6;81;87;False
2022-05-08;5;19;5;80;89;False
2022-05-15;0;24;4;83;93;False
2022-05-22;1;22;3;76;88;False
2022-05-29;6;29;4;45;90;False
2022-06-05;3;23;6;58;100;False
2022-06-12;3;22;3;53;87;False
2022-06-19;3;23;3;53;81;False
2022-06-26;3;27;3;49;87;False
2022-07-03;2;24;3;50;92;False
2022-07-10;4;24;9;45;95;False
2022-07-17;3;26;9;45;91;False
2022-07-24;4;25;8;43;90;False
2022-07-31;3;32;5;47;81;False
2022-08-07;3;49;7;49;78;False
2022-08-14;4;32;7;50;77;False
2022-08-21;3;39;4;45;67;False
2022-08-28;4;47;5;51;74;False
2022-09-04;3;30;6;57;80;False
2022-09-11;4;39;7;60;69;False
2022-09-18;3;20;29;58;66;False
2022-09-25;2;16;35;66;68;False
2022-10-02;4;25;6;65;65;False
2022-10-09;3;49;6;73;63;False
2022-10-16;3;42;4;62;57;False
2022-10-23;3;47;4;63;53;False
2022-10-30;4;27;5;66;53;False
2022-11-06;1;31;7;68;59;False
2022-11-13;2;13;14;77;50;False
2022-11-20;0;10;17;74;62;False
2022-11-27;2;10;7;61;61;False
2022-12-04;3;6;8;74;52;False
2022-12-11;3;11;6;59;53;False
2022-12-18;3;12;4;43;50;False
2022-12-25;4;12;4;36;66;False
2023-01-01;4;33;6;60;77;False
2023-01-08;3;52;7;67;71;False
2023-01-15;4;23;4;80;69;False
2023-01-22;4;39;2;73;64;False
2023-01-29;0;19;5;87;69;False
