date;Sunday with…;massachusetts;Ben Stokes;cornwall;air travel;isPartial
2022-01-02;0;2;1;58;3;False
2022-01-09;0;2;1;57;3;False
2022-01-16;0;2;0;56;2;False
2022-01-23;0;2;0;57;2;False
2022-01-30;0;2;0;51;3;False
2022-02-06;0;1;0;52;3;False
2022-02-13;0;2;0;64;3;False
2022-02-20;0;2;0;57;3;False
2022-02-27;0;1;0;53;2;False
2022-03-06;0;2;0;56;3;False
2022-03-13;0;2;1;60;3;False
2022-03-20;0;2;0;65;3;False
2022-03-27;0;2;0;61;3;False
2022-04-03;0;2;0;62;2;False
2022-04-10;0;2;0;68;2;False
2022-04-17;0;2;0;65;2;False
2022-04-24;0;2;1;62;2;False
2022-05-01;0;2;1;65;3;False
2022-05-08;0;2;0;61;3;False
2022-05-15;0;2;1;72;3;False
2022-05-22;0;2;0;66;3;False
2022-05-29;0;2;1;79;3;False
2022-06-05;0;2;1;79;3;False
2022-06-12;0;2;2;75;3;False
2022-06-19;0;2;1;78;2;False
2022-06-26;0;2;1;68;3;False
2022-07-03;0;2;1;76;3;False
2022-07-10;0;2;1;84;3;False
2022-07-17;0;2;3;85;3;False
2022-07-24;0;2;0;84;3;False
2022-07-31;0;2;0;92;2;False
2022-08-07;0;2;0;100;2;False
2022-08-14;0;2;1;86;2;False
2022-08-21;0;2;5;84;2;False
2022-08-28;0;2;3;69;2;False
2022-09-04;0;2;1;73;2;False
2022-09-11;0;2;2;58;2;False
2022-09-18;0;2;1;54;2;False
2022-09-25;0;2;1;52;2;False
2022-10-02;0;2;0;46;2;False
2022-10-09;0;2;1;48;2;False
2022-10-16;0;2;0;47;2;False
2022-10-23;0;2;0;46;2;False
2022-10-30;0;2;1;42;2;False
2022-11-06;0;2;1;41;2;False
2022-11-13;0;2;3;40;1;False
2022-11-20;0;1;0;40;2;False
2022-11-27;0;2;1;35;2;False
2022-12-04;0;1;1;35;1;False
2022-12-11;0;2;1;41;2;False
2022-12-18;0;2;3;36;1;False
2022-12-25;0;2;1;46;2;False
2023-01-01;0;2;0;51;2;False
2023-01-08;0;2;0;66;2;False
2023-01-15;0;2;0;54;2;False
2023-01-22;0;2;0;47;2;False
2023-01-29;0;2;0;48;2;False
