date;meghan markle;france;Muse;richard branson;air travel;isPartial
2022-01-02;1;17;1;0;0;False
2022-01-09;1;21;1;0;1;False
2022-01-16;1;16;1;0;0;False
2022-01-23;1;16;1;0;0;False
2022-01-30;1;17;1;0;0;False
2022-02-06;1;24;1;0;0;False
2022-02-13;1;17;1;0;0;False
2022-02-20;1;20;1;0;0;False
2022-02-27;1;16;1;0;0;False
2022-03-06;1;21;1;0;0;False
2022-03-13;1;23;1;0;0;False
2022-03-20;1;20;1;0;0;False
2022-03-27;1;17;1;0;0;False
2022-04-03;1;16;1;0;0;False
2022-04-10;1;17;1;0;0;False
2022-04-17;1;17;1;0;0;False
2022-04-24;1;18;1;0;0;False
2022-05-01;1;16;1;0;0;False
2022-05-08;1;17;1;0;0;False
2022-05-15;1;18;1;0;0;False
2022-05-22;1;19;1;0;0;False
2022-05-29;3;19;1;0;0;False
2022-06-05;2;19;1;0;0;False
2022-06-12;1;19;1;0;0;False
2022-06-19;1;18;1;0;0;False
2022-06-26;1;21;1;0;0;False
2022-07-03;1;22;1;0;0;False
2022-07-10;1;28;1;0;0;False
2022-07-17;2;28;1;0;0;False
2022-07-24;1;28;1;0;0;False
2022-07-31;1;18;1;0;0;False
2022-08-07;1;18;1;0;0;False
2022-08-14;1;15;1;0;0;False
2022-08-21;2;14;2;0;0;False
2022-08-28;3;14;1;0;0;False
2022-09-04;6;13;1;0;0;False
2022-09-11;6;14;1;0;0;False
2022-09-18;7;14;1;0;0;False
2022-09-25;2;13;1;0;0;False
2022-10-02;2;11;1;0;0;False
2022-10-09;1;12;1;0;0;False
2022-10-16;2;13;1;0;0;False
2022-10-23;2;12;1;0;0;False
2022-10-30;1;11;1;0;0;False
2022-11-06;1;13;1;0;0;False
2022-11-13;1;14;1;0;0;False
2022-11-20;1;28;1;0;0;False
2022-11-27;1;20;1;0;0;False
2022-12-04;5;100;1;0;0;False
2022-12-11;5;57;1;0;0;False
2022-12-18;6;59;1;0;0;False
2022-12-25;2;13;1;0;0;False
2023-01-01;2;13;1;0;0;False
2023-01-08;3;14;1;0;0;False
2023-01-15;2;14;1;0;0;False
2023-01-22;1;14;1;0;0;False
2023-01-29;1;14;1;0;0;False
