date;FTX;US universities;Northern Territory politics;Steve Smith;air travel;isPartial
2022-01-02;5;0;0;3;11;False
2022-01-09;5;1;0;3;12;False
2022-01-16;5;0;0;2;9;False
2022-01-23;6;1;0;2;10;False
2022-01-30;6;1;0;2;12;False
2022-02-06;4;1;0;2;12;False
2022-02-13;5;1;0;2;12;False
2022-02-20;5;1;0;1;12;False
2022-02-27;3;1;0;2;11;False
2022-03-06;3;1;0;2;11;False
2022-03-13;4;1;0;2;11;False
2022-03-20;5;1;0;2;11;False
2022-03-27;5;1;0;3;11;False
2022-04-03;5;1;0;2;11;False
2022-04-10;4;1;0;2;9;False
2022-04-17;5;0;0;1;10;False
2022-04-24;6;1;0;2;10;False
2022-05-01;5;1;0;2;11;False
2022-05-08;8;1;0;1;11;False
2022-05-15;6;1;0;1;11;False
2022-05-22;4;1;0;1;11;False
2022-05-29;5;1;0;2;11;False
2022-06-05;4;0;0;2;12;False
2022-06-12;5;1;0;3;11;False
2022-06-19;4;1;0;2;10;False
2022-06-26;6;1;0;3;11;False
2022-07-03;4;1;0;4;11;False
2022-07-10;5;0;0;2;12;False
2022-07-17;3;0;0;2;11;False
2022-07-24;3;1;0;2;11;False
2022-07-31;5;1;0;2;10;False
2022-08-07;4;2;0;2;10;False
2022-08-14;4;2;0;2;10;False
2022-08-21;4;2;0;1;8;False
2022-08-28;4;1;0;1;9;False
2022-09-04;4;1;0;2;10;False
2022-09-11;4;1;0;2;9;False
2022-09-18;3;1;0;2;8;False
2022-09-25;3;1;0;2;8;False
2022-10-02;4;0;0;2;8;False
2022-10-09;4;1;0;2;8;False
2022-10-16;3;1;0;2;7;False
2022-10-23;4;1;0;1;7;False
2022-10-30;4;1;0;1;7;False
2022-11-06;100;1;0;2;7;False
2022-11-13;67;1;0;2;6;False
2022-11-20;26;1;0;2;8;False
2022-11-27;17;1;0;3;8;False
2022-12-04;12;1;0;2;6;False
2022-12-11;21;0;0;2;7;False
2022-12-18;14;1;0;2;6;False
2022-12-25;9;1;0;2;8;False
2023-01-01;8;1;0;3;9;False
2023-01-08;8;1;0;2;9;False
2023-01-15;7;1;0;3;9;False
2023-01-22;5;1;0;2;8;False
2023-01-29;4;1;0;2;8;False
