date;Electronic music;Pamela Anderson;Sean Penn;Lillian Hellman;air travel;isPartial
2022-01-02;3;9;2;0;11;False
2022-01-09;2;8;2;0;12;False
2022-01-16;2;10;2;0;9;False
2022-01-23;2;16;4;0;10;False
2022-01-30;2;94;4;0;12;False
2022-02-06;1;85;2;0;12;False
2022-02-13;2;65;2;0;12;False
2022-02-20;2;61;9;0;12;False
2022-02-27;3;43;9;0;11;False
2022-03-06;2;43;4;0;11;False
2022-03-13;2;32;3;0;11;False
2022-03-20;2;23;3;0;11;False
2022-03-27;2;15;7;0;12;False
2022-04-03;2;12;3;0;11;False
2022-04-10;3;13;3;0;9;False
2022-04-17;2;11;4;0;10;False
2022-04-24;2;9;4;0;10;False
2022-05-01;2;10;4;0;11;False
2022-05-08;2;7;2;0;11;False
2022-05-15;1;8;3;0;11;False
2022-05-22;1;6;2;0;11;False
2022-05-29;1;9;2;0;11;False
2022-06-05;1;10;2;0;12;False
2022-06-12;2;7;2;0;11;False
2022-06-19;1;5;2;0;10;False
2022-06-26;2;7;3;0;11;False
2022-07-03;1;5;2;0;11;False
2022-07-10;1;6;2;0;12;False
2022-07-17;1;6;2;0;11;False
2022-07-24;1;5;2;0;11;False
2022-07-31;1;5;2;0;10;False
2022-08-07;2;6;3;0;10;False
2022-08-14;2;5;3;0;10;False
2022-08-21;1;6;2;0;8;False
2022-08-28;1;5;3;0;9;False
2022-09-04;2;5;3;0;10;False
2022-09-11;2;5;2;0;9;False
2022-09-18;1;5;2;0;8;False
2022-09-25;1;5;2;0;8;False
2022-10-02;2;5;3;0;8;False
2022-10-09;2;4;4;0;8;False
2022-10-16;2;5;3;0;7;False
2022-10-23;2;8;2;0;7;False
2022-10-30;2;9;2;0;7;False
2022-11-06;2;4;13;0;7;False
2022-11-13;2;4;3;0;6;False
2022-11-20;2;4;1;0;8;False
2022-11-27;2;3;3;0;8;False
2022-12-04;2;4;2;0;6;False
2022-12-11;2;4;2;0;7;False
2022-12-18;2;4;2;0;6;False
2022-12-25;1;6;3;0;8;False
2023-01-01;2;5;3;0;9;False
2023-01-08;2;8;2;0;9;False
2023-01-15;2;7;2;0;9;False
2023-01-22;2;17;2;0;8;False
2023-01-29;2;100;2;0;8;False
