date;Working from home;Six Nations 2023;Coastlines;Contraception and family planning;air travel;isPartial
2022-01-02;27;0;0;0;7;False
2022-01-09;29;1;0;0;8;False
2022-01-16;30;0;0;0;6;False
2022-01-23;31;0;0;0;7;False
2022-01-30;29;1;1;0;8;False
2022-02-06;21;1;0;0;8;False
2022-02-13;15;1;0;0;8;False
2022-02-20;17;1;0;0;8;False
2022-02-27;18;1;0;0;7;False
2022-03-06;24;1;0;0;7;False
2022-03-13;20;2;0;0;7;False
2022-03-20;22;1;0;0;7;False
2022-03-27;21;1;0;0;8;False
2022-04-03;25;1;0;0;7;False
2022-04-10;19;1;0;0;6;False
2022-04-17;17;2;0;0;7;False
2022-04-24;19;1;0;0;7;False
2022-05-01;18;1;0;0;7;False
2022-05-08;15;0;0;0;7;False
2022-05-15;13;0;1;0;8;False
2022-05-22;12;1;1;0;7;False
2022-05-29;9;1;0;0;7;False
2022-06-05;12;1;0;0;8;False
2022-06-12;13;1;0;0;7;False
2022-06-19;15;1;0;0;7;False
2022-06-26;17;1;0;0;7;False
2022-07-03;14;1;0;0;8;False
2022-07-10;14;1;0;0;8;False
2022-07-17;13;1;0;0;7;False
2022-07-24;13;1;0;0;7;False
2022-07-31;12;1;0;0;7;False
2022-08-07;11;1;0;0;6;False
2022-08-14;10;1;0;0;6;False
2022-08-21;13;1;0;0;6;False
2022-08-28;16;2;0;0;6;False
2022-09-04;13;2;0;0;7;False
2022-09-11;12;2;0;0;6;False
2022-09-18;12;2;0;0;5;False
2022-09-25;12;3;1;0;6;False
2022-10-02;12;2;0;0;5;False
2022-10-09;12;2;0;0;5;False
2022-10-16;12;2;0;0;5;False
2022-10-23;12;2;0;0;4;False
2022-10-30;11;3;0;0;4;False
2022-11-06;11;4;0;0;5;False
2022-11-13;11;4;0;0;4;False
2022-11-20;9;4;0;0;5;False
2022-11-27;9;5;0;0;5;False
2022-12-04;9;4;0;0;4;False
2022-12-11;9;4;0;0;4;False
2022-12-18;7;5;0;0;4;False
2022-12-25;7;6;0;0;5;False
2023-01-01;12;12;0;0;6;False
2023-01-08;13;17;0;0;6;False
2023-01-15;13;21;0;0;6;False
2023-01-22;13;25;0;0;5;False
2023-01-29;13;100;0;0;6;False
