date;lancashire;Jared Kushner;Fashion industry;Pizza;air travel;isPartial
2022-01-02;11;0;0;92;2;False
2022-01-09;11;0;0;86;2;False
2022-01-16;11;0;0;81;1;False
2022-01-23;12;0;0;84;1;False
2022-01-30;11;0;0;83;2;False
2022-02-06;12;0;0;85;2;False
2022-02-13;12;0;0;85;2;False
2022-02-20;12;0;0;89;2;False
2022-02-27;11;0;0;77;1;False
2022-03-06;11;0;0;76;2;False
2022-03-13;12;0;0;77;2;False
2022-03-20;11;0;0;83;1;False
2022-03-27;10;0;0;78;2;False
2022-04-03;11;0;0;81;1;False
2022-04-10;12;0;0;85;1;False
2022-04-17;12;0;0;78;1;False
2022-04-24;13;0;0;76;1;False
2022-05-01;13;0;0;86;1;False
2022-05-08;13;0;0;83;1;False
2022-05-15;12;0;0;73;2;False
2022-05-22;12;0;0;82;1;False
2022-05-29;13;0;0;100;2;False
2022-06-05;13;0;0;83;2;False
2022-06-12;13;0;0;79;1;False
2022-06-19;13;0;0;80;1;False
2022-06-26;12;0;0;82;1;False
2022-07-03;14;0;0;82;2;False
2022-07-10;13;0;0;90;2;False
2022-07-17;14;0;0;86;2;False
2022-07-24;13;0;0;89;2;False
2022-07-31;12;0;0;86;1;False
2022-08-07;12;0;0;90;1;False
2022-08-14;11;0;0;80;1;False
2022-08-21;11;0;0;83;1;False
2022-08-28;14;0;0;87;1;False
2022-09-04;12;0;0;75;1;False
2022-09-11;12;0;0;77;1;False
2022-09-18;11;0;0;80;1;False
2022-09-25;12;0;0;80;1;False
2022-10-02;10;0;0;78;1;False
2022-10-09;11;0;0;76;1;False
2022-10-16;10;0;0;74;1;False
2022-10-23;10;0;0;83;1;False
2022-10-30;10;0;0;71;1;False
2022-11-06;11;0;0;78;1;False
2022-11-13;11;0;0;72;1;False
2022-11-20;7;0;0;73;1;False
2022-11-27;10;0;0;75;1;False
2022-12-04;9;0;0;80;1;False
2022-12-11;9;0;0;78;1;False
2022-12-18;9;2;0;88;1;False
2022-12-25;10;0;0;89;1;False
2023-01-01;14;0;0;80;1;False
2023-01-08;16;0;0;69;1;False
2023-01-15;17;0;0;71;1;False
2023-01-22;16;0;0;77;1;False
2023-01-29;23;0;0;78;1;False
