date;Materials science;Athletics;Rallying;The Photographers' Gallery;air travel;isPartial
2022-01-02;1;10;0;0;6;False
2022-01-09;1;10;0;0;7;False
2022-01-16;1;11;0;0;5;False
2022-01-23;1;11;0;0;6;False
2022-01-30;1;13;0;0;7;False
2022-02-06;1;11;0;0;7;False
2022-02-13;1;13;0;0;7;False
2022-02-20;1;14;1;0;7;False
2022-02-27;1;12;0;0;6;False
2022-03-06;1;10;1;0;6;False
2022-03-13;1;16;0;0;6;False
2022-03-20;1;16;0;0;6;False
2022-03-27;1;10;0;0;6;False
2022-04-03;1;11;0;0;6;False
2022-04-10;0;10;0;0;5;False
2022-04-17;0;12;0;0;6;False
2022-04-24;1;14;0;0;6;False
2022-05-01;1;17;0;0;6;False
2022-05-08;0;18;0;0;6;False
2022-05-15;1;19;0;0;6;False
2022-05-22;1;16;0;0;6;False
2022-05-29;0;14;0;0;6;False
2022-06-05;1;19;0;0;7;False
2022-06-12;1;20;0;0;6;False
2022-06-19;0;24;0;0;6;False
2022-06-26;0;22;0;0;6;False
2022-07-03;0;19;0;0;6;False
2022-07-10;1;34;0;0;7;False
2022-07-17;0;100;0;0;6;False
2022-07-24;0;48;0;0;6;False
2022-07-31;0;54;0;0;6;False
2022-08-07;0;36;0;0;5;False
2022-08-14;0;85;0;0;5;False
2022-08-21;0;29;0;0;5;False
2022-08-28;0;10;0;0;5;False
2022-09-04;1;11;0;0;5;False
2022-09-11;1;10;0;0;5;False
2022-09-18;1;9;0;0;5;False
2022-09-25;1;9;1;0;5;False
2022-10-02;1;10;0;0;4;False
2022-10-09;0;9;0;0;4;False
2022-10-16;1;8;0;0;4;False
2022-10-23;1;8;0;0;4;False
2022-10-30;1;8;0;0;4;False
2022-11-06;1;9;0;0;4;False
2022-11-13;1;8;0;0;3;False
2022-11-20;1;8;0;0;4;False
2022-11-27;1;8;1;0;4;False
2022-12-04;0;8;0;0;4;False
2022-12-11;1;7;0;0;4;False
2022-12-18;0;7;0;0;3;False
2022-12-25;1;7;0;0;5;False
2023-01-01;1;9;0;0;5;False
2023-01-08;1;10;0;0;5;False
2023-01-15;1;10;0;0;5;False
2023-01-22;1;12;0;0;4;False
2023-01-29;1;13;0;0;5;False
