date;Sausages;Championship;Serie A;Nick Offerman;air travel;isPartial
2022-01-02;8;54;8;0;2;False
2022-01-09;8;36;10;0;2;False
2022-01-16;8;42;9;0;2;False
2022-01-23;8;45;7;0;2;False
2022-01-30;7;46;6;0;2;False
2022-02-06;7;57;9;0;2;False
2022-02-13;6;41;9;0;2;False
2022-02-20;7;49;9;0;2;False
2022-02-27;6;40;9;0;2;False
2022-03-06;6;58;9;0;2;False
2022-03-13;6;68;11;0;2;False
2022-03-20;6;32;8;0;2;False
2022-03-27;6;38;4;0;2;False
2022-04-03;6;58;11;0;2;False
2022-04-10;6;66;12;0;2;False
2022-04-17;6;95;10;0;2;False
2022-04-24;6;100;14;0;2;False
2022-05-01;6;98;15;0;2;False
2022-05-08;6;46;12;0;2;False
2022-05-15;7;72;18;0;2;False
2022-05-22;6;47;14;0;2;False
2022-05-29;7;36;4;0;2;False
2022-06-05;6;18;3;0;2;False
2022-06-12;7;21;3;0;2;False
2022-06-19;7;26;2;0;2;False
2022-06-26;7;18;2;0;2;False
2022-07-03;7;19;2;0;2;False
2022-07-10;7;33;2;0;2;False
2022-07-17;6;35;2;0;2;False
2022-07-24;7;44;3;0;2;False
2022-07-31;6;43;3;0;2;False
2022-08-07;7;41;6;0;2;False
2022-08-14;6;64;7;0;2;False
2022-08-21;7;47;9;0;2;False
2022-08-28;8;50;12;0;2;False
2022-09-04;7;37;10;0;2;False
2022-09-11;8;51;9;0;2;False
2022-09-18;7;23;8;0;2;False
2022-09-25;8;31;6;0;2;False
2022-10-02;7;43;10;0;2;False
2022-10-09;7;34;9;0;2;False
2022-10-16;7;46;9;0;1;False
2022-10-23;8;41;10;0;1;False
2022-10-30;8;44;10;0;1;False
2022-11-06;8;41;13;0;1;False
2022-11-13;7;29;6;0;1;False
2022-11-20;7;20;1;0;2;False
2022-11-27;7;16;1;0;1;False
2022-12-04;7;17;1;0;1;False
2022-12-11;8;40;1;0;1;False
2022-12-18;9;35;2;0;1;False
2022-12-25;9;74;3;0;2;False
2023-01-01;9;60;9;0;2;False
2023-01-08;8;29;10;0;2;False
2023-01-15;9;34;13;0;2;False
2023-01-22;9;29;11;0;2;False
2023-01-29;8;32;11;5;2;False
