date;artificial intelligence;Boxing;JK Rowling;Ipswich Town;air travel;isPartial
2023-01-01;1;15;2;2;1;False
2023-01-02;1;15;1;7;1;False
2023-01-03;1;12;1;2;1;False
2023-01-04;1;13;1;2;1;False
2023-01-05;1;12;1;3;1;False
2023-01-06;1;14;1;3;1;False
2023-01-07;1;17;1;8;1;False
2023-01-08;1;19;1;3;1;False
2023-01-09;1;12;1;3;1;False
2023-01-10;1;13;1;2;1;False
2023-01-11;1;12;1;2;1;False
2023-01-12;1;14;2;2;1;False
2023-01-13;1;18;1;2;1;False
2023-01-14;1;69;1;11;1;False
2023-01-15;1;25;2;2;1;False
2023-01-16;1;16;1;2;1;False
2023-01-17;1;14;2;2;1;False
2023-01-18;1;14;1;2;1;False
2023-01-19;1;13;1;2;1;False
2023-01-20;1;19;1;2;1;False
2023-01-21;1;100;1;7;1;False
2023-01-22;1;38;2;2;1;False
2023-01-23;1;16;2;2;1;False
2023-01-24;1;13;1;7;1;False
2023-01-25;1;14;2;2;1;False
2023-01-26;1;14;1;2;1;False
2023-01-27;1;14;5;2;1;False
2023-01-28;1;36;7;10;1;False
2023-01-29;1;24;4;2;1;False
2023-01-30;1;16;3;2;1;False
2023-01-31;1;18;1;2;1;False
