date;New Zealand netball team;Amazon Prime Video;Karren Brady;Property;air travel;isPartial
2023-01-01;0;7;0;56;1;False
2023-01-02;0;6;0;75;2;False
2023-01-03;0;6;2;89;1;False
2023-01-04;0;5;1;92;2;False
2023-01-05;0;4;4;80;1;False
2023-01-06;0;5;2;89;1;False
2023-01-07;0;6;1;62;1;False
2023-01-08;0;6;1;72;1;False
2023-01-09;0;5;0;94;1;False
2023-01-10;0;4;0;98;1;False
2023-01-11;0;5;1;86;2;False
2023-01-12;0;5;2;100;1;False
2023-01-13;0;6;1;77;1;False
2023-01-14;0;7;1;73;1;False
2023-01-15;0;6;0;66;1;False
2023-01-16;0;5;0;94;1;False
2023-01-17;0;6;0;88;1;False
2023-01-18;0;4;0;88;1;False
2023-01-19;0;5;2;88;1;False
2023-01-20;0;5;1;85;1;False
2023-01-21;0;7;1;77;1;False
2023-01-22;0;6;0;66;1;False
2023-01-23;0;5;0;95;1;False
2023-01-24;0;5;0;94;1;False
2023-01-25;0;5;0;92;1;False
2023-01-26;0;5;2;88;1;False
2023-01-27;0;5;1;83;1;False
2023-01-28;0;6;1;73;1;False
2023-01-29;0;6;0;72;1;False
2023-01-30;0;5;0;97;2;False
2023-01-31;0;4;0;95;1;False
