date;Ovarian cancer;Vegan food and drink;Martin Scorsese;children;air travel;isPartial
2022-01-02;1;0;0;76;1;False
2022-01-09;2;0;0;68;2;False
2022-01-16;2;0;0;67;1;False
2022-01-23;2;0;0;70;1;False
2022-01-30;2;0;0;69;2;False
2022-02-06;2;0;0;64;2;False
2022-02-13;1;0;0;62;2;False
2022-02-20;2;0;0;61;2;False
2022-02-27;2;0;0;70;1;False
2022-03-06;2;0;0;62;1;False
2022-03-13;1;0;0;67;1;False
2022-03-20;2;0;0;64;1;False
2022-03-27;2;0;0;63;2;False
2022-04-03;1;0;0;65;1;False
2022-04-10;1;0;0;58;1;False
2022-04-17;1;0;0;65;1;False
2022-04-24;1;0;0;63;1;False
2022-05-01;2;0;0;67;1;False
2022-05-08;2;0;0;62;1;False
2022-05-15;2;0;0;64;2;False
2022-05-22;1;0;0;64;1;False
2022-05-29;1;0;0;65;1;False
2022-06-05;2;0;1;67;2;False
2022-06-12;1;0;0;57;1;False
2022-06-19;1;0;0;58;1;False
2022-06-26;1;0;0;61;1;False
2022-07-03;1;0;0;66;1;False
2022-07-10;1;0;0;63;2;False
2022-07-17;1;0;0;60;1;False
2022-07-24;1;0;0;59;1;False
2022-07-31;2;0;0;52;1;False
2022-08-07;2;0;0;53;1;False
2022-08-14;2;0;0;52;1;False
2022-08-21;2;0;0;51;1;False
2022-08-28;2;0;0;55;1;False
2022-09-04;1;0;0;86;1;False
2022-09-11;1;0;0;92;1;False
2022-09-18;1;0;0;93;1;False
2022-09-25;2;0;0;70;1;False
2022-10-02;1;0;0;61;1;False
2022-10-09;1;0;0;65;1;False
2022-10-16;1;0;0;65;1;False
2022-10-23;1;0;0;63;1;False
2022-10-30;1;0;0;61;1;False
2022-11-06;2;0;0;79;1;False
2022-11-13;2;0;0;100;1;False
2022-11-20;1;0;1;63;1;False
2022-11-27;1;0;1;62;1;False
2022-12-04;1;0;0;65;1;False
2022-12-11;1;0;0;71;1;False
2022-12-18;1;0;0;68;1;False
2022-12-25;1;0;0;55;1;False
2023-01-01;1;0;0;60;1;False
2023-01-08;2;0;0;72;1;False
2023-01-15;1;0;0;64;1;False
2023-01-22;3;0;0;62;1;False
2023-01-29;2;0;0;62;1;False
