date;Procter & Gamble;Daniel Kaluuya;Julian Assange;Children's books: 8-12 years;air travel;isPartial
2022-01-02;0;7;22;0;64;False
2022-01-09;1;7;9;0;70;False
2022-01-16;1;7;10;0;55;False
2022-01-23;3;8;38;0;60;False
2022-01-30;1;1;14;0;68;False
2022-02-06;0;4;15;0;68;False
2022-02-13;1;8;7;0;69;False
2022-02-20;1;8;9;0;70;False
2022-02-27;2;6;7;0;61;False
2022-03-06;1;13;6;0;65;False
2022-03-13;3;20;21;0;64;False
2022-03-20;1;3;41;0;63;False
2022-03-27;1;15;9;0;66;False
2022-04-03;0;10;11;0;61;False
2022-04-10;1;9;7;0;53;False
2022-04-17;2;20;51;0;59;False
2022-04-24;1;9;10;0;60;False
2022-05-01;1;5;6;0;62;False
2022-05-08;1;7;14;0;64;False
2022-05-15;1;12;18;0;66;False
2022-05-22;2;5;7;0;63;False
2022-05-29;2;7;9;0;64;False
2022-06-05;1;6;11;0;72;False
2022-06-12;1;5;100;0;62;False
2022-06-19;2;5;24;0;58;False
2022-06-26;1;8;13;0;62;False
2022-07-03;1;5;12;0;66;False
2022-07-10;2;19;7;0;68;False
2022-07-17;1;24;9;0;65;False
2022-07-24;1;26;12;0;64;False
2022-07-31;2;32;8;0;58;False
2022-08-07;2;44;10;0;56;False
2022-08-14;1;36;9;0;55;False
2022-08-21;1;26;8;0;48;False
2022-08-28;1;21;6;0;53;False
2022-09-04;1;13;8;0;57;False
2022-09-11;1;12;7;0;50;False
2022-09-18;1;12;7;0;47;False
2022-09-25;1;7;11;0;49;False
2022-10-02;1;9;27;0;47;False
2022-10-09;2;5;25;0;45;False
2022-10-16;0;7;7;0;41;False
2022-10-23;2;6;7;0;38;False
2022-10-30;2;8;7;0;38;False
2022-11-06;1;11;6;0;42;False
2022-11-13;1;10;6;0;36;False
2022-11-20;1;7;7;0;45;False
2022-11-27;1;6;6;0;43;False
2022-12-04;1;7;8;0;37;False
2022-12-11;0;13;6;0;38;False
2022-12-18;0;6;5;0;36;False
2022-12-25;1;8;39;0;47;False
2023-01-01;1;8;24;0;55;False
2023-01-08;2;9;17;0;51;False
2023-01-15;0;8;11;0;49;False
2023-01-22;0;7;12;0;46;False
2023-01-29;1;10;13;0;49;False
