date;Barristers;Leicester City Women;Benin;Rudy Giuliani;air travel;isPartial
2023-01-01;9;0;22;14;76;False
2023-01-02;18;0;39;0;90;False
2023-01-03;11;0;38;0;59;False
2023-01-04;41;8;42;10;89;False
2023-01-05;35;13;39;0;73;False
2023-01-06;32;0;45;0;73;False
2023-01-07;16;0;26;8;53;False
2023-01-08;22;0;55;18;84;False
2023-01-09;48;0;43;15;50;False
2023-01-10;48;8;50;15;79;False
2023-01-11;16;0;53;6;90;False
2023-01-12;44;0;56;0;75;False
2023-01-13;28;0;46;4;60;False
2023-01-14;31;11;20;0;56;False
2023-01-15;20;6;19;0;66;False
2023-01-16;40;0;37;0;68;False
2023-01-17;21;0;41;0;56;False
2023-01-18;44;5;44;8;80;False
2023-01-19;28;0;23;6;73;False
2023-01-20;24;0;24;0;59;False
2023-01-21;12;7;23;0;63;False
2023-01-22;0;0;25;0;70;False
2023-01-23;39;0;48;0;72;False
2023-01-24;31;0;43;6;55;False
2023-01-25;19;0;25;5;75;False
2023-01-26;49;0;36;10;68;False
2023-01-27;31;0;39;0;47;False
2023-01-28;7;0;35;7;66;False
2023-01-29;8;17;68;0;60;False
2023-01-30;35;0;37;0;100;False
2023-01-31;41;7;55;0;84;False
