date;Late-night TV roundup;Stella Creasy;Whoopi Goldberg;ian blackford;air travel;isPartial
2023-01-01;0;0;49;0;50;False
2023-01-02;0;8;18;0;60;False
2023-01-03;0;4;23;5;39;False
2023-01-04;0;5;15;0;58;False
2023-01-05;0;0;14;9;48;False
2023-01-06;0;5;100;3;48;False
2023-01-07;0;0;68;0;35;False
2023-01-08;0;7;25;0;56;False
2023-01-09;0;0;31;0;33;False
2023-01-10;0;3;18;0;52;False
2023-01-11;0;0;16;9;59;False
2023-01-12;0;0;10;13;49;False
2023-01-13;0;5;14;0;39;False
2023-01-14;0;0;9;6;37;False
2023-01-15;0;3;14;12;44;False
2023-01-16;0;11;22;12;45;False
2023-01-17;0;4;9;0;37;False
2023-01-18;0;0;8;6;53;False
2023-01-19;0;8;11;7;48;False
2023-01-20;0;0;14;4;39;False
2023-01-21;0;0;8;4;41;False
2023-01-22;0;0;8;0;46;False
2023-01-23;0;9;19;0;47;False
2023-01-24;0;0;3;0;36;False
2023-01-25;0;0;22;6;50;False
2023-01-26;0;0;16;0;45;False
2023-01-27;0;0;22;0;31;False
2023-01-28;0;0;0;0;43;False
2023-01-29;0;0;10;12;40;False
2023-01-30;0;0;16;0;66;False
2023-01-31;0;0;17;12;55;False
