date;Honours system;Sundance 2023;paul mescal;beckham injury;air travel;isPartial
2022-01-02;0;1;13;0;37;False
2022-01-09;0;1;11;0;42;False
2022-01-16;1;0;10;0;32;False
2022-01-23;1;0;6;0;35;False
2022-01-30;0;1;6;0;39;False
2022-02-06;0;0;5;0;39;False
2022-02-13;0;0;6;2;40;False
2022-02-20;0;0;4;0;40;False
2022-02-27;0;0;6;0;35;False
2022-03-06;1;0;4;0;37;False
2022-03-13;0;0;5;0;37;False
2022-03-20;1;0;5;0;36;False
2022-03-27;0;0;3;1;38;False
2022-04-03;0;0;4;0;35;False
2022-04-10;0;1;4;0;30;False
2022-04-17;0;0;4;0;34;False
2022-04-24;0;0;15;0;35;False
2022-05-01;0;0;23;0;36;False
2022-05-08;1;0;8;0;37;False
2022-05-15;1;0;13;0;38;False
2022-05-22;0;0;11;0;36;False
2022-05-29;1;0;7;0;37;False
2022-06-05;0;0;5;0;41;False
2022-06-12;0;1;3;0;36;False
2022-06-19;0;0;13;0;33;False
2022-06-26;1;0;9;0;36;False
2022-07-03;0;0;4;0;38;False
2022-07-10;1;0;5;0;39;False
2022-07-17;0;0;5;0;37;False
2022-07-24;0;0;7;0;37;False
2022-07-31;1;0;5;0;33;False
2022-08-07;1;0;5;0;32;False
2022-08-14;1;0;9;0;32;False
2022-08-21;0;0;6;2;28;False
2022-08-28;0;0;4;0;30;False
2022-09-04;0;0;6;0;33;False
2022-09-11;1;1;5;0;29;False
2022-09-18;1;0;4;0;28;False
2022-09-25;0;0;4;0;28;False
2022-10-02;1;1;8;0;27;False
2022-10-09;0;1;6;1;26;False
2022-10-16;0;0;5;1;24;False
2022-10-23;0;0;6;0;22;False
2022-10-30;0;0;37;0;22;False
2022-11-06;1;0;66;0;24;False
2022-11-13;0;1;31;0;20;False
2022-11-20;0;0;24;2;26;False
2022-11-27;0;0;11;0;25;False
2022-12-04;1;1;11;1;21;False
2022-12-11;0;1;12;0;22;False
2022-12-18;0;0;38;1;20;False
2022-12-25;0;1;24;0;27;False
2023-01-01;1;1;38;1;32;False
2023-01-08;1;1;42;0;29;False
2023-01-15;1;3;33;0;29;False
2023-01-22;0;3;100;0;26;False
2023-01-29;1;1;47;0;28;False
