date;Menstruation;Postal service;Local government;GMB union;air travel;isPartial
2022-01-02;24;16;53;12;78;False
2022-01-09;23;14;61;12;89;False
2022-01-16;17;13;62;14;66;False
2022-01-23;21;10;65;14;73;False
2022-01-30;24;11;68;18;83;False
2022-02-06;25;9;62;14;83;False
2022-02-13;21;9;60;12;84;False
2022-02-20;24;12;59;12;85;False
2022-02-27;19;9;77;14;75;False
2022-03-06;24;12;66;12;78;False
2022-03-13;23;11;65;17;78;False
2022-03-20;24;11;59;12;76;False
2022-03-27;21;10;65;12;80;False
2022-04-03;24;13;60;14;75;False
2022-04-10;26;20;51;12;64;False
2022-04-17;24;12;52;10;70;False
2022-04-24;23;10;58;11;73;False
2022-05-01;19;15;80;16;75;False
2022-05-08;22;11;65;15;77;False
2022-05-15;21;11;55;14;80;False
2022-05-22;23;12;57;16;76;False
2022-05-29;20;28;48;11;78;False
2022-06-05;20;10;55;16;87;False
2022-06-12;23;10;65;18;78;False
2022-06-19;20;7;59;25;70;False
2022-06-26;20;11;62;15;75;False
2022-07-03;20;10;53;15;80;False
2022-07-10;22;14;58;14;82;False
2022-07-17;19;13;75;17;78;False
2022-07-24;23;11;77;20;78;False
2022-07-31;22;9;58;18;70;False
2022-08-07;20;12;58;15;68;False
2022-08-14;22;12;57;15;67;False
2022-08-21;20;17;59;17;58;False
2022-08-28;20;18;58;20;64;False
2022-09-04;22;17;52;14;69;False
2022-09-11;22;16;64;14;60;False
2022-09-18;17;10;61;11;59;False
2022-09-25;21;18;76;15;59;False
2022-10-02;23;16;68;15;56;False
2022-10-09;20;14;77;20;55;False
2022-10-16;23;11;84;19;50;False
2022-10-23;21;13;89;19;46;False
2022-10-30;18;9;100;18;46;False
2022-11-06;27;14;67;22;51;False
2022-11-13;20;21;65;15;43;False
2022-11-20;20;19;50;16;54;False
2022-11-27;14;20;51;21;53;False
2022-12-04;21;24;48;21;45;False
2022-12-11;14;27;48;19;46;False
2022-12-18;15;26;41;36;43;False
2022-12-25;20;17;21;6;57;False
2023-01-01;18;16;47;10;66;False
2023-01-08;20;13;59;22;61;False
2023-01-15;25;17;57;21;60;False
2023-01-22;21;12;59;25;55;False
2023-01-29;24;10;60;19;59;False
