date;zara aleena;Wes Streeting;Small business;Brighton;air travel;isPartial
2022-01-02;0;1;4;51;2;False
2022-01-09;0;1;3;52;2;False
2022-01-16;0;0;3;54;1;False
2022-01-23;0;0;4;51;1;False
2022-01-30;0;0;4;63;2;False
2022-02-06;0;0;3;51;2;False
2022-02-13;0;0;3;73;2;False
2022-02-20;0;0;3;59;2;False
2022-02-27;0;0;3;54;1;False
2022-03-06;0;0;3;58;2;False
2022-03-13;0;0;3;58;2;False
2022-03-20;0;0;4;50;2;False
2022-03-27;0;0;3;51;2;False
2022-04-03;0;0;3;60;1;False
2022-04-10;0;0;3;70;1;False
2022-04-17;0;0;3;64;1;False
2022-04-24;0;0;3;56;1;False
2022-05-01;0;0;3;66;1;False
2022-05-08;0;1;3;62;2;False
2022-05-15;0;1;3;59;2;False
2022-05-22;0;0;3;55;2;False
2022-05-29;0;0;3;62;2;False
2022-06-05;0;1;3;54;2;False
2022-06-12;0;0;3;58;1;False
2022-06-19;0;0;3;56;1;False
2022-06-26;4;0;3;57;1;False
2022-07-03;1;0;3;61;2;False
2022-07-10;0;0;3;66;2;False
2022-07-17;0;0;3;73;2;False
2022-07-24;0;0;3;60;2;False
2022-07-31;0;0;3;74;1;False
2022-08-07;0;0;3;100;1;False
2022-08-14;0;0;3;60;1;False
2022-08-21;0;0;3;80;1;False
2022-08-28;0;0;3;64;1;False
2022-09-04;0;0;3;71;1;False
2022-09-11;0;0;3;55;1;False
2022-09-18;0;0;3;51;1;False
2022-09-25;0;1;3;65;1;False
2022-10-02;0;0;3;59;1;False
2022-10-09;0;0;3;56;1;False
2022-10-16;0;0;3;67;1;False
2022-10-23;0;0;3;59;1;False
2022-10-30;0;0;3;51;1;False
2022-11-06;0;1;3;63;1;False
2022-11-13;1;0;3;53;1;False
2022-11-20;0;0;3;42;1;False
2022-11-27;0;0;3;41;1;False
2022-12-04;0;0;3;41;1;False
2022-12-11;2;1;3;44;1;False
2022-12-18;0;0;3;46;1;False
2022-12-25;0;0;2;60;1;False
2023-01-01;0;0;3;58;1;False
2023-01-08;0;1;4;59;1;False
2023-01-15;0;0;4;57;1;False
2023-01-22;1;0;4;54;1;False
2023-01-29;0;0;4;81;1;False
