date;Milan holidays;Economic policy;Ron DeSantis;Stamps;air travel;isPartial
2023-01-01;2;0;1;41;7;False
2023-01-02;1;2;0;56;8;False
2023-01-03;3;1;0;61;5;False
2023-01-04;2;2;3;57;8;False
2023-01-05;1;1;1;100;7;False
2023-01-06;1;0;1;69;7;False
2023-01-07;1;0;0;54;5;False
2023-01-08;1;2;1;56;8;False
2023-01-09;1;0;1;60;5;False
2023-01-10;2;1;0;55;7;False
2023-01-11;1;1;0;54;8;False
2023-01-12;1;2;1;56;7;False
2023-01-13;1;1;1;52;5;False
2023-01-14;3;1;0;46;5;False
2023-01-15;4;1;0;47;6;False
2023-01-16;1;1;0;56;6;False
2023-01-17;1;2;0;51;5;False
2023-01-18;1;1;0;56;7;False
2023-01-19;1;1;0;48;7;False
2023-01-20;1;1;1;46;5;False
2023-01-21;1;0;0;45;6;False
2023-01-22;2;1;1;38;6;False
2023-01-23;1;2;0;54;7;False
2023-01-24;2;1;0;51;5;False
2023-01-25;1;1;0;50;7;False
2023-01-26;1;1;0;47;6;False
2023-01-27;0;0;0;46;4;False
2023-01-28;2;1;1;43;6;False
2023-01-29;1;1;1;48;6;False
2023-01-30;1;2;1;58;9;False
2023-01-31;1;1;0;55;8;False
