date;ben wallace;european union;The Gambia;vietnam;air travel;isPartial
2022-01-02;0;3;2;25;8;False
2022-01-09;0;4;2;25;9;False
2022-01-16;1;4;2;22;7;False
2022-01-23;1;5;3;27;7;False
2022-01-30;2;4;2;26;8;False
2022-02-06;3;4;2;24;8;False
2022-02-13;4;4;2;24;9;False
2022-02-20;7;10;1;27;9;False
2022-02-27;6;14;2;25;8;False
2022-03-06;4;6;2;26;8;False
2022-03-13;4;5;1;28;8;False
2022-03-20;3;5;1;28;8;False
2022-03-27;1;4;2;28;8;False
2022-04-03;1;4;2;25;8;False
2022-04-10;2;4;2;25;7;False
2022-04-17;2;4;1;27;7;False
2022-04-24;4;4;1;27;7;False
2022-05-01;2;4;1;27;8;False
2022-05-08;2;5;1;26;8;False
2022-05-15;1;4;1;31;8;False
2022-05-22;1;4;1;25;8;False
2022-05-29;3;3;1;28;8;False
2022-06-05;5;4;2;29;9;False
2022-06-12;1;4;1;28;8;False
2022-06-19;1;4;2;27;7;False
2022-06-26;2;3;1;29;8;False
2022-07-03;100;3;1;29;8;False
2022-07-10;10;3;1;29;8;False
2022-07-17;2;3;1;28;8;False
2022-07-24;2;3;1;28;8;False
2022-07-31;1;3;2;28;7;False
2022-08-07;1;3;1;28;7;False
2022-08-14;1;3;2;27;7;False
2022-08-21;1;3;1;27;6;False
2022-08-28;1;3;1;28;7;False
2022-09-04;4;4;1;29;7;False
2022-09-11;2;3;2;29;6;False
2022-09-18;1;4;1;29;6;False
2022-09-25;1;3;1;30;6;False
2022-10-02;1;4;1;31;6;False
2022-10-09;3;3;2;30;6;False
2022-10-16;25;4;2;30;5;False
2022-10-23;5;4;1;29;5;False
2022-10-30;1;4;2;30;5;False
2022-11-06;1;4;2;30;5;False
2022-11-13;1;4;1;30;4;False
2022-11-20;1;4;2;27;6;False
2022-11-27;1;4;2;31;5;False
2022-12-04;1;3;2;29;5;False
2022-12-11;1;4;2;30;5;False
2022-12-18;1;3;2;30;4;False
2022-12-25;2;2;2;35;6;False
2023-01-01;1;4;2;38;7;False
2023-01-08;1;4;2;36;6;False
2023-01-15;1;4;1;37;6;False
2023-01-22;1;3;2;35;6;False
2023-01-29;1;4;2;35;6;False
