date;Bonds;Seth Meyers;Damian Green;piers morgan;air travel;isPartial
2022-01-02;75;0;0;27;7;False
2022-01-09;43;0;0;31;9;False
2022-01-16;37;0;0;32;6;False
2022-01-23;40;0;1;25;7;False
2022-01-30;79;0;0;29;8;False
2022-02-06;39;0;0;24;8;False
2022-02-13;35;0;0;21;8;False
2022-02-20;36;0;0;23;8;False
2022-02-27;68;1;0;24;7;False
2022-03-06;38;0;0;24;8;False
2022-03-13;39;1;0;20;7;False
2022-03-20;37;1;0;18;7;False
2022-03-27;59;1;0;19;8;False
2022-04-03;53;0;0;20;7;False
2022-04-10;31;0;0;22;6;False
2022-04-17;33;0;0;33;7;False
2022-04-24;38;0;1;59;7;False
2022-05-01;76;0;1;32;7;False
2022-05-08;40;0;0;25;7;False
2022-05-15;37;0;0;20;8;False
2022-05-22;43;0;0;20;7;False
2022-05-29;63;1;0;22;7;False
2022-06-05;44;0;0;20;8;False
2022-06-12;38;1;0;17;7;False
2022-06-19;36;0;0;21;7;False
2022-06-26;57;0;0;17;7;False
2022-07-03;44;0;1;23;8;False
2022-07-10;32;0;0;15;8;False
2022-07-17;30;0;0;15;8;False
2022-07-24;34;0;0;15;7;False
2022-07-31;74;0;0;12;7;False
2022-08-07;35;0;0;16;7;False
2022-08-14;35;0;0;10;6;False
2022-08-21;40;1;0;12;6;False
2022-08-28;68;0;0;16;6;False
2022-09-04;45;1;0;29;7;False
2022-09-11;37;1;0;24;6;False
2022-09-18;42;1;0;21;6;False
2022-09-25;83;1;0;16;6;False
2022-10-02;100;1;0;24;5;False
2022-10-09;79;0;0;20;5;False
2022-10-16;58;0;0;22;5;False
2022-10-23;52;0;1;23;4;False
2022-10-30;96;0;0;15;4;False
2022-11-06;71;0;0;16;5;False
2022-11-13;60;1;0;74;4;False
2022-11-20;41;0;0;23;5;False
2022-11-27;81;0;0;20;5;False
2022-12-04;46;0;0;38;4;False
2022-12-11;45;1;0;29;4;False
2022-12-18;37;0;0;34;4;False
2022-12-25;37;0;0;30;6;False
2023-01-01;96;1;0;21;6;False
2023-01-08;51;0;0;26;6;False
2023-01-15;47;1;0;22;6;False
2023-01-22;65;0;0;16;5;False
2023-01-29;98;0;0;18;6;False
