date;Nick Clegg;Kate O'Flynn;#MeToo movement;Valentine's Day;air travel;isPartial
2022-01-02;1;0;0;13;5;False
2022-01-09;0;0;0;18;6;False
2022-01-16;0;0;0;24;5;False
2022-01-23;1;0;0;34;5;False
2022-01-30;0;0;0;58;6;False
2022-02-06;0;0;0;92;6;False
2022-02-13;4;0;0;100;6;False
2022-02-20;2;0;0;4;6;False
2022-02-27;1;0;0;2;5;False
2022-03-06;0;0;0;2;5;False
2022-03-13;1;0;0;2;5;False
2022-03-20;0;0;0;2;5;False
2022-03-27;0;0;0;2;5;False
2022-04-03;0;0;0;1;5;False
2022-04-10;0;0;0;1;4;False
2022-04-17;0;0;0;1;5;False
2022-04-24;0;0;0;1;5;False
2022-05-01;1;0;0;1;5;False
2022-05-08;0;0;0;1;5;False
2022-05-15;1;0;0;2;5;False
2022-05-22;0;0;0;2;5;False
2022-05-29;0;0;0;2;5;False
2022-06-05;1;0;0;1;6;False
2022-06-12;0;0;0;2;5;False
2022-06-19;0;0;0;1;5;False
2022-06-26;0;0;0;1;5;False
2022-07-03;1;0;0;2;5;False
2022-07-10;1;0;0;1;6;False
2022-07-17;0;0;0;2;5;False
2022-07-24;0;0;0;1;5;False
2022-07-31;0;0;0;1;5;False
2022-08-07;0;0;0;1;5;False
2022-08-14;0;0;0;1;5;False
2022-08-21;0;0;0;1;4;False
2022-08-28;1;0;0;1;4;False
2022-09-04;1;0;0;1;5;False
2022-09-11;0;0;0;1;4;False
2022-09-18;1;0;0;1;4;False
2022-09-25;1;0;0;1;4;False
2022-10-02;1;0;0;1;4;False
2022-10-09;1;0;0;1;4;False
2022-10-16;1;0;0;1;3;False
2022-10-23;1;0;0;1;3;False
2022-10-30;1;0;0;1;3;False
2022-11-06;0;0;0;2;3;False
2022-11-13;0;0;0;1;3;False
2022-11-20;0;0;0;1;4;False
2022-11-27;0;0;0;1;4;False
2022-12-04;0;0;0;2;3;False
2022-12-11;0;0;0;2;3;False
2022-12-18;0;0;0;2;3;False
2022-12-25;0;0;0;3;4;False
2023-01-01;0;0;0;8;5;False
2023-01-08;0;0;0;14;4;False
2023-01-15;0;0;0;18;4;False
2023-01-22;1;0;0;25;4;False
2023-01-29;0;0;0;44;4;False
