date;George Eliot;Kevin Rudd;Hugh Bonneville;Antisemitism;air travel;isPartial
2023-01-01;7;0;40;6;35;False
2023-01-02;18;0;16;6;41;False
2023-01-03;9;0;5;3;27;False
2023-01-04;11;0;7;9;40;False
2023-01-05;16;0;8;0;33;False
2023-01-06;10;7;7;8;33;False
2023-01-07;11;3;8;0;24;False
2023-01-08;15;2;13;0;38;False
2023-01-09;13;4;5;5;23;False
2023-01-10;11;14;10;6;36;False
2023-01-11;6;3;5;7;41;False
2023-01-12;17;3;3;19;34;False
2023-01-13;10;0;9;4;27;False
2023-01-14;9;16;7;0;25;False
2023-01-15;18;0;12;7;30;False
2023-01-16;6;0;0;9;31;False
2023-01-17;13;0;14;6;25;False
2023-01-18;10;0;4;8;36;False
2023-01-19;6;0;4;9;33;False
2023-01-20;11;0;6;10;27;False
2023-01-21;7;0;14;11;29;False
2023-01-22;8;0;7;7;32;False
2023-01-23;100;0;8;7;33;False
2023-01-24;6;4;5;9;25;False
2023-01-25;7;0;0;7;34;False
2023-01-26;9;0;9;8;31;False
2023-01-27;11;2;6;18;21;False
2023-01-28;9;0;10;8;30;False
2023-01-29;3;0;8;5;27;False
2023-01-30;10;0;5;7;45;False
2023-01-31;23;0;5;8;38;False
