date;Nutrition;Instagram;Vegetarianism;Bill Nighy;air travel;isPartial
2023-01-01;5;100;0;1;1;False
2023-01-02;7;88;0;2;1;False
2023-01-03;7;82;0;1;1;False
2023-01-04;8;82;0;1;1;False
2023-01-05;8;81;0;0;1;False
2023-01-06;8;73;0;1;1;False
2023-01-07;7;73;0;1;1;False
2023-01-08;9;90;0;1;1;False
2023-01-09;8;74;0;0;1;False
2023-01-10;8;79;0;0;1;False
2023-01-11;8;71;0;0;1;False
2023-01-12;9;80;0;0;1;False
2023-01-13;7;78;0;2;1;False
2023-01-14;7;77;0;1;1;False
2023-01-15;7;82;0;1;1;False
2023-01-16;8;84;0;0;1;False
2023-01-17;8;77;0;0;1;False
2023-01-18;7;77;0;0;1;False
2023-01-19;8;77;0;1;1;False
2023-01-20;7;80;0;1;1;False
2023-01-21;7;81;0;1;1;False
2023-01-22;7;86;0;0;1;False
2023-01-23;9;87;0;0;1;False
2023-01-24;8;77;0;2;1;False
2023-01-25;9;77;0;2;1;False
2023-01-26;7;74;0;1;1;False
2023-01-27;6;77;0;1;1;False
2023-01-28;7;74;0;1;1;False
2023-01-29;7;83;0;1;1;False
2023-01-30;8;77;0;1;1;False
2023-01-31;8;77;0;0;1;False
