date;environment;Reading Women;Seinfeld;Duchy of Cornwall;air travel;isPartial
2023-01-01;28;1;8;0;9;False
2023-01-02;41;2;7;0;11;False
2023-01-03;61;1;4;1;7;False
2023-01-04;68;1;7;0;11;False
2023-01-05;71;1;5;0;9;False
2023-01-06;62;1;7;1;9;False
2023-01-07;34;1;7;1;6;False
2023-01-08;50;1;9;2;10;False
2023-01-09;76;0;5;1;6;False
2023-01-10;92;1;7;2;9;False
2023-01-11;80;0;7;1;11;False
2023-01-12;100;2;8;0;9;False
2023-01-13;70;2;7;2;7;False
2023-01-14;43;3;9;0;7;False
2023-01-15;47;3;9;1;8;False
2023-01-16;78;2;9;1;8;False
2023-01-17;81;1;7;1;7;False
2023-01-18;75;2;7;0;10;False
2023-01-19;75;1;7;3;9;False
2023-01-20;71;2;6;0;7;False
2023-01-21;30;1;7;1;8;False
2023-01-22;40;7;9;1;8;False
2023-01-23;81;3;7;0;9;False
2023-01-24;79;3;6;1;7;False
2023-01-25;71;2;5;0;9;False
2023-01-26;82;1;6;0;8;False
2023-01-27;65;2;12;1;6;False
2023-01-28;33;2;7;1;8;False
2023-01-29;40;3;8;0;7;False
2023-01-30;75;2;3;1;12;False
2023-01-31;79;2;11;4;10;False
