date;HS2;data and forensics;democratic republic of congo;Magazines;air travel;isPartial
2022-01-02;32;0;2;54;39;False
2022-01-09;47;0;2;53;43;False
2022-01-16;39;1;2;52;33;False
2022-01-23;51;0;3;53;37;False
2022-01-30;50;1;3;50;42;False
2022-02-06;41;0;3;49;42;False
2022-02-13;40;0;2;48;42;False
2022-02-20;37;1;2;46;43;False
2022-02-27;34;0;3;47;37;False
2022-03-06;37;1;5;51;39;False
2022-03-13;38;1;2;51;39;False
2022-03-20;39;0;4;50;38;False
2022-03-27;35;0;4;48;40;False
2022-04-03;36;0;2;46;37;False
2022-04-10;28;0;3;38;32;False
2022-04-17;33;0;2;46;36;False
2022-04-24;32;0;4;47;37;False
2022-05-01;42;0;2;46;38;False
2022-05-08;41;0;6;51;39;False
2022-05-15;41;0;3;50;40;False
2022-05-22;40;0;2;46;38;False
2022-05-29;38;1;2;40;39;False
2022-06-05;54;0;3;43;43;False
2022-06-12;38;0;4;43;38;False
2022-06-19;39;0;3;41;35;False
2022-06-26;33;0;3;42;38;False
2022-07-03;33;1;2;41;40;False
2022-07-10;35;0;2;42;41;False
2022-07-17;33;0;1;37;39;False
2022-07-24;39;0;2;40;39;False
2022-07-31;40;0;2;40;35;False
2022-08-07;39;0;1;39;34;False
2022-08-14;34;0;2;39;34;False
2022-08-21;32;0;3;41;29;False
2022-08-28;30;0;1;41;32;False
2022-09-04;38;0;1;46;35;False
2022-09-11;31;0;3;52;30;False
2022-09-18;37;1;3;45;29;False
2022-09-25;35;0;1;49;30;False
2022-10-02;38;0;3;46;28;False
2022-10-09;37;1;2;51;27;False
2022-10-16;39;0;3;48;25;False
2022-10-23;33;1;2;40;23;False
2022-10-30;48;0;3;46;23;False
2022-11-06;37;0;2;49;26;False
2022-11-13;62;0;3;48;22;False
2022-11-20;33;0;2;45;27;False
2022-11-27;33;0;3;48;26;False
2022-12-04;29;0;3;46;22;False
2022-12-11;29;0;3;49;23;False
2022-12-18;28;0;3;40;22;False
2022-12-25;27;0;3;33;28;False
2023-01-01;38;0;2;44;33;False
2023-01-08;34;0;2;48;31;False
2023-01-15;37;0;4;48;30;False
2023-01-22;100;0;4;55;28;False
2023-01-29;48;0;4;49;30;False
