date;1922 Committee;Stroke;Road safety;Sikhism;air travel;isPartial
2022-01-02;0;32;2;2;6;False
2022-01-09;5;33;2;2;7;False
2022-01-16;2;31;2;2;5;False
2022-01-23;1;31;2;2;6;False
2022-01-30;3;33;2;2;7;False
2022-02-06;1;32;2;2;7;False
2022-02-13;0;31;2;1;7;False
2022-02-20;0;32;1;2;7;False
2022-02-27;0;32;2;2;6;False
2022-03-06;0;33;2;2;6;False
2022-03-13;0;38;2;2;6;False
2022-03-20;0;50;2;2;6;False
2022-03-27;0;39;2;2;7;False
2022-04-03;0;36;2;2;6;False
2022-04-10;0;34;1;2;5;False
2022-04-17;1;38;1;2;6;False
2022-04-24;0;40;2;2;6;False
2022-05-01;0;39;2;2;6;False
2022-05-08;0;44;2;3;6;False
2022-05-15;0;40;2;3;7;False
2022-05-22;1;38;2;2;6;False
2022-05-29;1;35;1;2;6;False
2022-06-05;5;40;2;2;7;False
2022-06-12;0;54;2;3;6;False
2022-06-19;0;47;2;3;6;False
2022-06-26;0;33;2;2;6;False
2022-07-03;11;40;2;2;6;False
2022-07-10;4;82;2;2;7;False
2022-07-17;1;100;2;1;6;False
2022-07-24;0;36;1;1;6;False
2022-07-31;0;36;2;1;6;False
2022-08-07;0;61;1;1;6;False
2022-08-14;0;48;1;1;5;False
2022-08-21;0;32;1;1;5;False
2022-08-28;0;33;1;1;5;False
2022-09-04;1;34;3;2;6;False
2022-09-11;0;33;4;3;5;False
2022-09-18;0;31;3;2;5;False
2022-09-25;1;34;4;2;5;False
2022-10-02;0;34;3;2;5;False
2022-10-09;2;35;2;2;5;False
2022-10-16;13;32;2;2;4;False
2022-10-23;3;33;2;2;4;False
2022-10-30;0;31;2;2;4;False
2022-11-06;0;33;3;3;4;False
2022-11-13;0;32;4;2;4;False
2022-11-20;0;30;2;2;4;False
2022-11-27;0;31;2;2;4;False
2022-12-04;0;28;2;2;4;False
2022-12-11;0;30;1;2;4;False
2022-12-18;0;31;1;1;4;False
2022-12-25;0;28;1;1;5;False
2023-01-01;0;36;1;2;5;False
2023-01-08;0;34;2;2;5;False
2023-01-15;0;34;2;3;5;False
2023-01-22;0;32;2;2;4;False
2023-01-29;0;32;2;2;5;False
