date;Jared Leto;Wildlife photographer of the year;National Party;anna faris;air travel;isPartial
2023-01-01;47;19;3;7;44;False
2023-01-02;29;15;10;8;52;False
2023-01-03;25;13;13;4;33;False
2023-01-04;37;6;13;0;51;False
2023-01-05;22;5;15;6;42;False
2023-01-06;20;4;11;5;42;False
2023-01-07;37;12;0;0;30;False
2023-01-08;26;16;13;9;48;False
2023-01-09;25;10;14;5;28;False
2023-01-10;20;7;12;9;45;False
2023-01-11;14;5;6;5;51;False
2023-01-12;22;3;10;7;43;False
2023-01-13;28;0;11;11;34;False
2023-01-14;22;19;7;24;32;False
2023-01-15;23;11;9;11;38;False
2023-01-16;17;11;7;12;39;False
2023-01-17;26;8;11;17;32;False
2023-01-18;9;3;9;9;46;False
2023-01-19;46;9;11;7;42;False
2023-01-20;100;9;3;7;34;False
2023-01-21;31;6;0;24;36;False
2023-01-22;24;11;12;14;40;False
2023-01-23;42;13;6;5;41;False
2023-01-24;27;6;13;14;31;False
2023-01-25;16;4;10;3;43;False
2023-01-26;15;0;9;5;39;False
2023-01-27;12;0;11;10;27;False
2023-01-28;25;21;4;13;38;False
2023-01-29;23;3;6;9;34;False
2023-01-30;17;4;0;5;57;False
2023-01-31;19;6;5;7;48;False
