date;Zara;Chechnya;Climate science;North Macedonia;air travel;isPartial
2022-01-02;65;0;0;0;2;False
2022-01-09;58;0;0;0;2;False
2022-01-16;57;0;0;0;2;False
2022-01-23;58;1;0;0;2;False
2022-01-30;60;0;0;0;2;False
2022-02-06;54;0;0;0;2;False
2022-02-13;48;0;0;0;2;False
2022-02-20;54;5;0;0;2;False
2022-02-27;51;7;0;0;2;False
2022-03-06;55;3;0;0;2;False
2022-03-13;54;2;0;0;2;False
2022-03-20;63;2;0;10;2;False
2022-03-27;56;1;0;7;2;False
2022-04-03;57;1;0;2;2;False
2022-04-10;62;1;0;1;2;False
2022-04-17;60;0;0;0;2;False
2022-04-24;60;0;0;0;2;False
2022-05-01;66;0;0;1;2;False
2022-05-08;67;0;0;1;2;False
2022-05-15;73;0;0;0;2;False
2022-05-22;60;0;0;0;2;False
2022-05-29;66;0;0;1;2;False
2022-06-05;62;0;0;1;2;False
2022-06-12;63;0;0;1;2;False
2022-06-19;78;0;0;1;2;False
2022-06-26;73;0;0;1;2;False
2022-07-03;62;0;0;0;2;False
2022-07-10;75;0;0;0;2;False
2022-07-17;54;0;0;0;2;False
2022-07-24;54;0;0;1;2;False
2022-07-31;54;0;0;1;2;False
2022-08-07;56;0;0;0;2;False
2022-08-14;51;0;0;0;2;False
2022-08-21;50;0;0;0;2;False
2022-08-28;53;0;0;0;2;False
2022-09-04;55;0;0;0;2;False
2022-09-11;70;1;0;0;2;False
2022-09-18;72;0;0;1;2;False
2022-09-25;60;1;0;1;2;False
2022-10-02;61;1;0;0;2;False
2022-10-09;61;0;0;1;1;False
2022-10-16;57;0;0;0;1;False
2022-10-23;55;0;0;0;1;False
2022-10-30;57;0;0;0;1;False
2022-11-06;92;0;0;0;1;False
2022-11-13;77;0;0;1;1;False
2022-11-20;97;0;0;1;1;False
2022-11-27;80;0;0;0;1;False
2022-12-04;72;0;0;0;1;False
2022-12-11;68;0;0;0;1;False
2022-12-18;62;0;0;0;1;False
2022-12-25;100;0;0;1;2;False
2023-01-01;55;0;0;1;2;False
2023-01-08;50;0;0;1;2;False
2023-01-15;57;0;0;0;2;False
2023-01-22;58;0;0;0;1;False
2023-01-29;56;0;0;0;2;False
