date;Nuclear waste;Mauritius;Steven Soderbergh;Pandora papers;air travel;isPartial
2022-01-02;2;98;1;1;23;False
2022-01-09;2;89;2;0;25;False
2022-01-16;3;91;0;0;19;False
2022-01-23;2;91;0;0;21;False
2022-01-30;2;96;1;0;24;False
2022-02-06;3;87;2;1;24;False
2022-02-13;3;87;1;0;24;False
2022-02-20;4;86;0;1;25;False
2022-02-27;4;78;1;1;22;False
2022-03-06;3;79;1;2;23;False
2022-03-13;3;76;0;2;23;False
2022-03-20;3;83;1;1;22;False
2022-03-27;3;80;2;1;24;False
2022-04-03;4;73;0;1;22;False
2022-04-10;3;74;1;1;19;False
2022-04-17;2;72;0;1;21;False
2022-04-24;2;69;0;0;21;False
2022-05-01;2;74;0;0;22;False
2022-05-08;2;69;1;0;23;False
2022-05-15;2;71;1;1;24;False
2022-05-22;2;67;0;0;22;False
2022-05-29;2;70;0;0;23;False
2022-06-05;2;76;1;0;25;False
2022-06-12;1;71;0;0;22;False
2022-06-19;2;72;0;0;21;False
2022-06-26;2;75;0;0;22;False
2022-07-03;2;78;0;0;23;False
2022-07-10;2;78;0;0;24;False
2022-07-17;2;75;0;0;23;False
2022-07-24;2;81;0;0;23;False
2022-07-31;2;78;0;0;21;False
2022-08-07;2;77;0;0;20;False
2022-08-14;2;66;0;0;20;False
2022-08-21;2;73;0;0;17;False
2022-08-28;3;75;0;1;19;False
2022-09-04;3;76;0;0;20;False
2022-09-11;2;77;0;0;18;False
2022-09-18;2;75;0;0;17;False
2022-09-25;2;75;0;0;17;False
2022-10-02;3;75;0;0;17;False
2022-10-09;3;72;0;0;16;False
2022-10-16;3;72;0;1;15;False
2022-10-23;2;68;0;0;14;False
2022-10-30;3;65;0;1;13;False
2022-11-06;3;71;0;0;15;False
2022-11-13;2;72;0;0;13;False
2022-11-20;2;59;0;0;16;False
2022-11-27;5;63;0;0;15;False
2022-12-04;2;60;0;0;13;False
2022-12-11;2;67;0;0;14;False
2022-12-18;2;63;0;0;13;False
2022-12-25;1;85;1;0;17;False
2023-01-01;3;89;0;0;19;False
2023-01-08;2;100;1;0;18;False
2023-01-15;2;87;0;0;18;False
2023-01-22;3;86;0;0;16;False
2023-01-29;3;84;0;0;17;False
