date;CES;Radio drama;virgin atlantic;Rory Kinnear;air travel;isPartial
2022-01-02;47;7;96;2;24;False
2022-01-09;19;5;98;12;26;False
2022-01-16;12;6;88;2;21;False
2022-01-23;11;5;90;1;23;False
2022-01-30;10;6;89;1;26;False
2022-02-06;10;4;88;1;26;False
2022-02-13;8;5;85;2;26;False
2022-02-20;10;4;89;1;26;False
2022-02-27;9;4;82;1;23;False
2022-03-06;8;4;85;1;24;False
2022-03-13;9;5;81;1;24;False
2022-03-20;10;5;83;3;24;False
2022-03-27;8;4;81;2;25;False
2022-04-03;7;3;86;1;23;False
2022-04-10;7;5;81;1;20;False
2022-04-17;7;5;94;2;22;False
2022-04-24;7;4;81;1;23;False
2022-05-01;9;3;99;2;23;False
2022-05-08;7;5;82;2;24;False
2022-05-15;8;4;83;2;25;False
2022-05-22;7;4;79;4;24;False
2022-05-29;5;4;90;6;24;False
2022-06-05;8;4;87;4;27;False
2022-06-12;7;4;82;2;24;False
2022-06-19;7;4;87;1;22;False
2022-06-26;7;4;88;2;24;False
2022-07-03;8;3;83;2;25;False
2022-07-10;7;5;91;1;26;False
2022-07-17;6;5;83;1;24;False
2022-07-24;6;4;93;1;24;False
2022-07-31;6;5;90;1;22;False
2022-08-07;6;5;91;1;21;False
2022-08-14;5;4;83;1;21;False
2022-08-21;6;5;94;2;18;False
2022-08-28;6;3;93;1;20;False
2022-09-04;7;4;85;1;22;False
2022-09-11;7;4;84;2;19;False
2022-09-18;8;5;81;1;18;False
2022-09-25;7;4;92;1;18;False
2022-10-02;8;5;86;1;18;False
2022-10-09;9;4;80;1;17;False
2022-10-16;8;5;83;2;15;False
2022-10-23;8;5;79;2;14;False
2022-10-30;7;4;83;1;14;False
2022-11-06;8;3;81;2;16;False
2022-11-13;10;4;81;1;13;False
2022-11-20;9;3;71;1;17;False
2022-11-27;8;4;75;1;16;False
2022-12-04;6;4;62;0;14;False
2022-12-11;11;5;77;1;14;False
2022-12-18;10;5;72;2;13;False
2022-12-25;9;4;88;2;18;False
2023-01-01;43;4;100;9;21;False
2023-01-08;24;4;95;5;19;False
2023-01-15;13;5;89;17;19;False
2023-01-22;10;4;81;10;17;False
2023-01-29;9;5;88;8;19;False
