date;Alice Neel;Belle and Sebastian;Steven Spielberg;Relationships and sex education;air travel;isPartial
2022-01-02;0;8;39;2;80;False
2022-01-09;0;5;31;0;92;False
2022-01-16;0;13;25;1;68;False
2022-01-23;1;8;26;0;75;False
2022-01-30;1;10;25;0;85;False
2022-02-06;4;8;26;0;85;False
2022-02-13;1;7;22;1;86;False
2022-02-20;1;7;24;1;87;False
2022-02-27;1;10;26;0;76;False
2022-03-06;1;6;26;0;80;False
2022-03-13;1;9;25;0;80;False
2022-03-20;0;7;31;0;78;False
2022-03-27;1;9;39;1;83;False
2022-04-03;3;5;24;1;75;False
2022-04-10;1;7;20;0;65;False
2022-04-17;1;9;21;0;73;False
2022-04-24;1;9;15;1;75;False
2022-05-01;1;17;17;0;77;False
2022-05-08;0;23;16;0;80;False
2022-05-15;1;8;23;0;83;False
2022-05-22;0;4;22;0;78;False
2022-05-29;1;10;25;0;80;False
2022-06-05;0;6;17;0;89;False
2022-06-12;0;9;23;0;78;False
2022-06-19;1;7;25;0;72;False
2022-06-26;0;9;11;2;78;False
2022-07-03;1;10;17;0;82;False
2022-07-10;1;14;22;1;85;False
2022-07-17;0;10;21;1;81;False
2022-07-24;1;8;25;0;80;False
2022-07-31;0;8;15;0;72;False
2022-08-07;1;6;20;1;70;False
2022-08-14;0;9;30;0;69;False
2022-08-21;0;9;18;3;60;False
2022-08-28;0;11;17;0;66;False
2022-09-04;5;8;15;0;71;False
2022-09-11;0;7;23;0;62;False
2022-09-18;2;7;19;1;60;False
2022-09-25;2;10;18;0;61;False
2022-10-02;1;7;17;1;58;False
2022-10-09;0;12;22;1;57;False
2022-10-16;2;9;16;0;51;False
2022-10-23;2;10;27;0;47;False
2022-10-30;2;10;19;1;47;False
2022-11-06;5;18;22;0;53;False
2022-11-13;1;14;18;1;44;False
2022-11-20;2;6;16;0;55;False
2022-11-27;2;6;19;0;54;False
2022-12-04;1;7;19;0;46;False
2022-12-11;0;7;24;1;47;False
2022-12-18;1;7;99;0;44;False
2022-12-25;1;8;69;0;58;False
2023-01-01;0;6;36;0;68;False
2023-01-08;2;16;48;0;63;False
2023-01-15;5;15;82;1;62;False
2023-01-22;2;12;100;0;57;False
2023-01-29;6;8;94;1;61;False
