date;Tom Hanks;hs2;Nico;David Fincher;air travel;isPartial
2022-01-02;100;15;42;2;19;False
2022-01-09;27;23;42;1;21;False
2022-01-16;23;19;45;2;16;False
2022-01-23;25;25;35;3;18;False
2022-01-30;22;24;40;1;20;False
2022-02-06;45;20;34;2;20;False
2022-02-13;29;19;38;1;20;False
2022-02-20;24;18;39;2;21;False
2022-02-27;19;17;35;2;18;False
2022-03-06;21;18;33;2;19;False
2022-03-13;32;18;42;2;19;False
2022-03-20;21;19;41;2;18;False
2022-03-27;20;17;37;1;20;False
2022-04-03;20;17;34;1;18;False
2022-04-10;21;14;38;2;16;False
2022-04-17;20;16;35;2;17;False
2022-04-24;19;16;38;1;18;False
2022-05-01;31;20;38;2;18;False
2022-05-08;21;20;30;1;19;False
2022-05-15;22;20;34;3;20;False
2022-05-22;20;19;32;3;19;False
2022-05-29;68;18;35;2;19;False
2022-06-05;23;26;43;2;21;False
2022-06-12;65;18;34;1;18;False
2022-06-19;33;19;29;2;17;False
2022-06-26;27;16;33;2;18;False
2022-07-03;25;16;32;1;19;False
2022-07-10;25;17;36;1;20;False
2022-07-17;21;16;34;1;19;False
2022-07-24;20;19;37;2;19;False
2022-07-31;25;19;32;2;17;False
2022-08-07;23;19;38;2;17;False
2022-08-14;29;16;31;2;16;False
2022-08-21;25;15;32;1;14;False
2022-08-28;25;15;35;2;16;False
2022-09-04;29;18;31;1;17;False
2022-09-11;29;15;32;3;15;False
2022-09-18;23;18;39;2;14;False
2022-09-25;27;17;40;2;14;False
2022-10-02;22;18;32;2;14;False
2022-10-09;22;18;32;2;13;False
2022-10-16;20;19;32;1;12;False
2022-10-23;21;16;30;1;11;False
2022-10-30;18;23;38;2;11;False
2022-11-06;17;18;40;2;12;False
2022-11-13;24;30;49;1;10;False
2022-11-20;19;16;53;1;13;False
2022-11-27;19;16;59;1;13;False
2022-12-04;20;14;41;2;11;False
2022-12-11;47;14;32;1;11;False
2022-12-18;58;13;37;2;10;False
2022-12-25;69;13;37;2;14;False
2023-01-01;50;19;40;2;16;False
2023-01-08;44;17;38;2;15;False
2023-01-15;34;18;54;2;15;False
2023-01-22;33;48;48;2;13;False
2023-01-29;31;23;42;2;14;False
