date;michael jackson;Norway;Australian rules football;Puppetry;air travel;isPartial
2022-01-02;25;40;0;0;8;False
2022-01-09;23;38;0;0;9;False
2022-01-16;21;35;0;0;7;False
2022-01-23;23;38;0;0;8;False
2022-01-30;28;39;0;0;9;False
2022-02-06;24;39;0;0;9;False
2022-02-13;25;41;0;0;9;False
2022-02-20;23;47;0;0;9;False
2022-02-27;21;38;0;0;8;False
2022-03-06;22;38;0;0;8;False
2022-03-13;22;37;0;0;8;False
2022-03-20;22;47;0;0;8;False
2022-03-27;21;43;0;0;8;False
2022-04-03;22;34;0;0;8;False
2022-04-10;24;33;0;0;7;False
2022-04-17;26;35;0;0;7;False
2022-04-24;25;34;0;0;8;False
2022-05-01;24;37;0;0;8;False
2022-05-08;21;63;0;0;8;False
2022-05-15;22;63;0;0;8;False
2022-05-22;20;39;0;0;8;False
2022-05-29;23;40;0;0;8;False
2022-06-05;21;48;0;0;9;False
2022-06-12;22;42;0;0;8;False
2022-06-19;28;43;0;0;7;False
2022-06-26;28;41;0;0;8;False
2022-07-03;25;50;0;0;8;False
2022-07-10;23;100;0;0;9;False
2022-07-17;23;40;0;0;8;False
2022-07-24;27;39;0;0;8;False
2022-07-31;24;37;0;0;7;False
2022-08-07;24;42;0;0;7;False
2022-08-14;23;47;0;0;7;False
2022-08-21;25;44;0;0;6;False
2022-08-28;32;44;0;0;7;False
2022-09-04;33;38;0;0;7;False
2022-09-11;24;40;0;0;6;False
2022-09-18;21;46;0;0;6;False
2022-09-25;22;43;0;0;6;False
2022-10-02;22;41;0;0;6;False
2022-10-09;21;40;0;0;6;False
2022-10-16;22;35;0;0;5;False
2022-10-23;27;34;0;0;5;False
2022-10-30;24;36;0;0;5;False
2022-11-06;23;38;0;0;5;False
2022-11-13;22;72;0;0;4;False
2022-11-20;21;39;0;0;6;False
2022-11-27;22;41;0;0;5;False
2022-12-04;19;39;0;0;5;False
2022-12-11;21;38;0;0;5;False
2022-12-18;22;41;0;0;4;False
2022-12-25;27;54;0;0;6;False
2023-01-01;22;46;0;0;7;False
2023-01-08;33;44;0;0;6;False
2023-01-15;24;47;0;0;6;False
2023-01-22;23;45;0;0;6;False
2023-01-29;26;43;0;0;6;False
