date;Africa Cup of Nations;Climate crisis;Toni Collette;Kully Thiarai;air travel;isPartial
2022-01-02;38;1;2;0;33;False
2022-01-09;100;2;3;0;36;False
2022-01-16;68;2;4;0;28;False
2022-01-23;83;2;2;0;31;False
2022-01-30;78;2;3;0;35;False
2022-02-06;46;1;2;0;35;False
2022-02-13;1;2;6;0;35;False
2022-02-20;1;2;8;0;36;False
2022-02-27;2;2;23;0;31;False
2022-03-06;2;3;49;0;33;False
2022-03-13;1;2;22;0;33;False
2022-03-20;2;2;29;0;32;False
2022-03-27;3;2;26;0;34;False
2022-04-03;1;2;19;0;31;False
2022-04-10;1;2;15;0;27;False
2022-04-17;1;3;12;0;30;False
2022-04-24;0;2;11;0;31;False
2022-05-01;1;2;20;0;32;False
2022-05-08;1;2;23;0;33;False
2022-05-15;1;2;18;0;34;False
2022-05-22;1;2;15;0;32;False
2022-05-29;2;2;12;0;33;False
2022-06-05;6;2;11;0;37;False
2022-06-12;2;2;10;0;32;False
2022-06-19;1;2;10;0;30;False
2022-06-26;0;1;5;0;32;False
2022-07-03;3;1;5;0;34;False
2022-07-10;3;2;5;1;35;False
2022-07-17;3;4;5;0;33;False
2022-07-24;1;3;6;0;33;False
2022-07-31;0;2;3;0;30;False
2022-08-07;0;1;4;0;29;False
2022-08-14;0;2;4;0;28;False
2022-08-21;0;2;5;0;25;False
2022-08-28;1;2;5;0;27;False
2022-09-04;1;2;4;0;29;False
2022-09-11;0;1;4;1;25;False
2022-09-18;1;2;4;0;24;False
2022-09-25;0;2;4;0;25;False
2022-10-02;1;2;3;0;24;False
2022-10-09;0;3;4;0;23;False
2022-10-16;0;2;4;0;21;False
2022-10-23;0;3;4;0;19;False
2022-10-30;1;3;5;0;19;False
2022-11-06;1;5;4;0;22;False
2022-11-13;2;4;3;0;18;False
2022-11-20;1;3;2;0;23;False
2022-11-27;4;2;3;0;22;False
2022-12-04;4;3;10;0;19;False
2022-12-11;3;2;8;0;19;False
2022-12-18;1;1;10;0;18;False
2022-12-25;2;1;12;0;24;False
2023-01-01;1;2;8;0;28;False
2023-01-08;1;3;8;0;26;False
2023-01-15;2;3;7;0;25;False
2023-01-22;1;1;11;0;23;False
2023-01-29;1;2;5;1;25;False
