date;plymouth shooting;Electoral reform;Witness K case;Mergers and acquisitions;air travel;isPartial
2022-01-02;0;0;0;11;90;False
2022-01-09;2;2;0;7;98;False
2022-01-16;1;2;0;11;77;False
2022-01-23;3;2;0;5;84;False
2022-01-30;3;1;0;4;95;False
2022-02-06;8;0;0;8;96;False
2022-02-13;3;1;0;9;96;False
2022-02-20;4;0;0;6;98;False
2022-02-27;2;2;0;9;86;False
2022-03-06;4;2;0;7;90;False
2022-03-13;3;2;0;8;90;False
2022-03-20;1;1;0;6;88;False
2022-03-27;1;1;0;5;93;False
2022-04-03;4;0;0;9;85;False
2022-04-10;3;1;0;6;74;False
2022-04-17;3;2;0;5;82;False
2022-04-24;1;5;0;7;84;False
2022-05-01;2;1;0;7;87;False
2022-05-08;0;2;0;8;89;False
2022-05-15;4;3;0;7;93;False
2022-05-22;7;2;0;8;88;False
2022-05-29;5;1;0;4;90;False
2022-06-05;2;0;0;5;100;False
2022-06-12;1;0;0;5;87;False
2022-06-19;3;2;0;7;81;False
2022-06-26;1;3;0;6;87;False
2022-07-03;4;1;0;6;92;False
2022-07-10;2;5;0;7;95;False
2022-07-17;2;2;0;7;91;False
2022-07-24;2;1;0;5;90;False
2022-07-31;2;0;0;8;81;False
2022-08-07;13;1;0;7;78;False
2022-08-14;3;0;0;5;77;False
2022-08-21;5;0;0;4;67;False
2022-08-28;5;1;0;3;74;False
2022-09-04;2;0;0;8;80;False
2022-09-11;2;2;0;4;69;False
2022-09-18;0;4;0;5;66;False
2022-09-25;2;6;0;6;68;False
2022-10-02;2;1;0;7;65;False
2022-10-09;0;3;0;9;63;False
2022-10-16;2;1;0;8;57;False
2022-10-23;3;2;0;7;53;False
2022-10-30;2;2;0;7;53;False
2022-11-06;0;4;0;7;59;False
2022-11-13;2;2;0;6;50;False
2022-11-20;1;2;0;5;62;False
2022-11-27;0;2;0;8;61;False
2022-12-04;3;1;0;10;52;False
2022-12-11;3;0;0;6;53;False
2022-12-18;4;0;0;8;50;False
2022-12-25;4;0;0;5;66;False
2023-01-01;0;4;0;12;77;False
2023-01-08;2;0;0;6;71;False
2023-01-15;12;1;0;9;69;False
2023-01-22;3;3;0;6;64;False
2023-01-29;6;0;0;7;69;False
