date;coronavirus;Membership;Joe Biden;Channel Islands;air travel;isPartial
2022-01-02;100;20;2;1;1;False
2022-01-09;77;19;1;1;2;False
2022-01-16;63;17;2;1;1;False
2022-01-23;59;18;5;1;1;False
2022-01-30;59;19;2;1;2;False
2022-02-06;47;16;2;1;2;False
2022-02-13;39;15;1;1;2;False
2022-02-20;41;18;4;1;2;False
2022-02-27;32;18;4;0;1;False
2022-03-06;31;16;2;1;1;False
2022-03-13;34;16;2;1;1;False
2022-03-20;35;16;3;1;1;False
2022-03-27;28;16;2;1;1;False
2022-04-03;25;17;2;1;1;False
2022-04-10;23;16;2;1;1;False
2022-04-17;17;16;1;1;1;False
2022-04-24;15;16;1;1;1;False
2022-05-01;17;18;1;1;1;False
2022-05-08;14;17;1;1;1;False
2022-05-15;13;16;1;1;1;False
2022-05-22;12;17;2;1;1;False
2022-05-29;9;17;2;1;1;False
2022-06-05;12;17;1;1;2;False
2022-06-12;12;18;3;1;1;False
2022-06-19;12;17;2;1;1;False
2022-06-26;13;17;2;1;1;False
2022-07-03;14;17;2;1;1;False
2022-07-10;14;18;3;1;2;False
2022-07-17;9;18;4;1;1;False
2022-07-24;8;20;2;1;1;False
2022-07-31;8;20;2;1;1;False
2022-08-07;6;17;1;1;1;False
2022-08-14;5;17;1;1;1;False
2022-08-21;6;18;1;1;1;False
2022-08-28;5;19;2;1;1;False
2022-09-04;5;18;3;1;1;False
2022-09-11;5;18;2;1;1;False
2022-09-18;5;17;9;1;1;False
2022-09-25;5;19;2;1;1;False
2022-10-02;6;18;2;0;1;False
2022-10-09;6;18;2;1;1;False
2022-10-16;5;17;2;1;1;False
2022-10-23;5;17;3;1;1;False
2022-10-30;4;16;2;0;1;False
2022-11-06;4;17;4;1;1;False
2022-11-13;4;16;2;0;1;False
2022-11-20;4;16;1;0;1;False
2022-11-27;4;16;1;0;1;False
2022-12-04;3;14;1;1;1;False
2022-12-11;4;15;1;1;1;False
2022-12-18;5;16;1;0;1;False
2022-12-25;5;17;1;0;1;False
2023-01-01;4;21;1;1;1;False
2023-01-08;4;20;2;1;1;False
2023-01-15;3;20;1;1;1;False
2023-01-22;3;19;2;1;1;False
2023-01-29;3;20;1;1;1;False
