date;Milan holidays;Antibiotics;Scottish Premiership;Chess;air travel;isPartial
2022-01-02;0;29;1;35;6;False
2022-01-09;1;28;1;32;6;False
2022-01-16;0;25;4;32;5;False
2022-01-23;0;27;6;33;5;False
2022-01-30;0;28;7;50;6;False
2022-02-06;0;27;6;33;6;False
2022-02-13;0;25;3;31;6;False
2022-02-20;0;27;5;37;6;False
2022-02-27;0;26;7;30;5;False
2022-03-06;1;30;4;30;6;False
2022-03-13;1;30;4;29;6;False
2022-03-20;1;30;3;30;6;False
2022-03-27;0;26;2;34;6;False
2022-04-03;0;30;7;30;5;False
2022-04-10;1;29;5;29;5;False
2022-04-17;1;28;5;27;5;False
2022-04-24;0;28;5;25;5;False
2022-05-01;1;28;7;29;5;False
2022-05-08;1;29;9;28;6;False
2022-05-15;1;29;4;28;6;False
2022-05-22;1;28;2;27;6;False
2022-05-29;1;27;1;26;6;False
2022-06-05;1;30;1;29;6;False
2022-06-12;1;29;1;29;5;False
2022-06-19;1;27;1;28;5;False
2022-06-26;0;29;1;32;5;False
2022-07-03;1;30;1;30;6;False
2022-07-10;1;29;1;31;6;False
2022-07-17;0;26;1;32;6;False
2022-07-24;1;28;4;44;6;False
2022-07-31;0;28;5;34;5;False
2022-08-07;0;26;4;32;5;False
2022-08-14;0;24;5;30;5;False
2022-08-21;0;26;5;30;4;False
2022-08-28;0;25;7;30;5;False
2022-09-04;1;26;2;34;5;False
2022-09-11;0;29;3;39;4;False
2022-09-18;0;27;4;46;4;False
2022-09-25;0;30;3;49;4;False
2022-10-02;0;30;4;47;4;False
2022-10-09;0;31;4;36;4;False
2022-10-16;1;34;6;35;4;False
2022-10-23;0;32;3;39;3;False
2022-10-30;0;31;4;35;3;False
2022-11-06;0;34;9;42;4;False
2022-11-13;0;33;2;43;3;False
2022-11-20;0;33;1;41;4;False
2022-11-27;0;42;1;44;4;False
2022-12-04;0;63;1;44;3;False
2022-12-11;1;75;4;54;3;False
2022-12-18;0;80;7;66;3;False
2022-12-25;1;61;6;76;4;False
2023-01-01;1;58;8;70;5;False
2023-01-08;1;44;5;73;4;False
2023-01-15;1;36;5;82;4;False
2023-01-22;1;35;5;100;4;False
2023-01-29;1;39;9;91;4;False
