date;Frank Lampard;James Webb space telescope;US crime;Wine;air travel;isPartial
2022-01-02;1;2;0;55;2;False
2022-01-09;1;1;0;54;2;False
2022-01-16;1;0;0;49;1;False
2022-01-23;3;1;0;50;2;False
2022-01-30;5;0;0;50;2;False
2022-02-06;2;1;0;49;2;False
2022-02-13;1;0;0;50;2;False
2022-02-20;1;0;0;51;2;False
2022-02-27;1;0;0;50;2;False
2022-03-06;1;0;0;47;2;False
2022-03-13;2;0;0;47;2;False
2022-03-20;1;0;0;48;2;False
2022-03-27;0;0;0;50;2;False
2022-04-03;2;0;0;52;2;False
2022-04-10;1;0;0;53;1;False
2022-04-17;1;0;0;51;1;False
2022-04-24;1;0;0;47;2;False
2022-05-01;1;0;0;48;2;False
2022-05-08;1;0;0;47;2;False
2022-05-15;2;0;0;46;2;False
2022-05-22;1;0;0;48;2;False
2022-05-29;1;0;0;49;2;False
2022-06-05;0;0;0;49;2;False
2022-06-12;0;0;0;48;2;False
2022-06-19;1;0;0;47;1;False
2022-06-26;0;0;0;48;2;False
2022-07-03;0;0;0;49;2;False
2022-07-10;0;61;0;50;2;False
2022-07-17;0;1;0;51;2;False
2022-07-24;0;0;0;51;2;False
2022-07-31;1;1;0;50;1;False
2022-08-07;1;0;0;49;1;False
2022-08-14;1;0;0;45;1;False
2022-08-21;1;0;0;52;1;False
2022-08-28;1;0;0;49;1;False
2022-09-04;1;0;0;53;1;False
2022-09-11;0;0;0;51;1;False
2022-09-18;1;0;0;51;1;False
2022-09-25;1;0;0;50;1;False
2022-10-02;0;0;0;50;1;False
2022-10-09;1;0;0;48;1;False
2022-10-16;1;0;0;49;1;False
2022-10-23;1;0;0;53;1;False
2022-10-30;1;0;0;52;1;False
2022-11-06;1;0;0;57;1;False
2022-11-13;1;0;0;63;1;False
2022-11-20;0;0;0;60;1;False
2022-11-27;1;0;0;76;1;False
2022-12-04;0;0;0;69;1;False
2022-12-11;0;0;0;86;1;False
2022-12-18;1;0;0;100;1;False
2022-12-25;1;0;0;68;1;False
2023-01-01;4;0;0;52;1;False
2023-01-08;2;0;0;46;1;False
2023-01-15;3;0;0;49;1;False
2023-01-22;8;0;0;50;1;False
2023-01-29;2;0;0;49;1;False
