date;Welsh government;angela rayner;Michael Frayn;School sports;air travel;isPartial
2022-01-02;4;11;0;5;5;False
2022-01-09;3;16;0;5;6;False
2022-01-16;3;6;0;5;4;False
2022-01-23;3;14;0;5;5;False
2022-01-30;3;5;0;5;5;False
2022-02-06;3;2;0;5;6;False
2022-02-13;2;2;0;3;6;False
2022-02-20;2;3;0;4;6;False
2022-02-27;3;1;0;5;5;False
2022-03-06;2;1;0;5;5;False
2022-03-13;2;2;0;5;5;False
2022-03-20;3;3;0;5;5;False
2022-03-27;3;3;0;4;5;False
2022-04-03;2;1;0;3;5;False
2022-04-10;2;2;0;3;4;False
2022-04-17;2;4;0;4;5;False
2022-04-24;2;100;0;4;5;False
2022-05-01;2;16;0;4;5;False
2022-05-08;2;5;0;5;5;False
2022-05-15;2;2;0;5;5;False
2022-05-22;2;4;0;5;5;False
2022-05-29;1;2;0;3;5;False
2022-06-05;2;4;0;5;6;False
2022-06-12;2;2;0;6;5;False
2022-06-19;2;2;0;9;5;False
2022-06-26;2;9;0;7;5;False
2022-07-03;2;12;0;6;5;False
2022-07-10;2;8;0;6;5;False
2022-07-17;2;4;0;5;5;False
2022-07-24;1;6;0;5;5;False
2022-07-31;1;2;0;5;5;False
2022-08-07;1;1;0;5;5;False
2022-08-14;2;1;0;5;4;False
2022-08-21;2;1;0;8;4;False
2022-08-28;2;1;0;8;4;False
2022-09-04;2;5;0;8;5;False
2022-09-11;2;1;0;7;4;False
2022-09-18;2;3;0;5;4;False
2022-09-25;3;7;0;5;4;False
2022-10-02;2;2;0;5;4;False
2022-10-09;2;3;0;5;4;False
2022-10-16;2;5;0;4;3;False
2022-10-23;2;6;0;2;3;False
2022-10-30;1;2;0;4;3;False
2022-11-06;2;6;0;5;3;False
2022-11-13;2;7;0;4;3;False
2022-11-20;2;1;0;4;4;False
2022-11-27;2;2;0;4;3;False
2022-12-04;2;6;0;4;3;False
2022-12-11;2;1;0;3;3;False
2022-12-18;1;1;0;2;3;False
2022-12-25;1;1;0;2;4;False
2023-01-01;1;1;0;4;4;False
2023-01-08;2;2;0;5;4;False
2023-01-15;2;2;0;6;4;False
2023-01-22;2;3;0;5;4;False
2023-01-29;2;2;0;5;4;False
