date;George Clooney;Deaths in custody;hollywood;Northern Ireland;air travel;isPartial
2023-01-01;9;0;55;53;4;False
2023-01-02;5;0;45;66;4;False
2023-01-03;2;0;37;71;3;False
2023-01-04;2;1;33;67;4;False
2023-01-05;3;0;30;64;4;False
2023-01-06;4;0;36;62;4;False
2023-01-07;6;0;48;79;3;False
2023-01-08;4;0;52;58;4;False
2023-01-09;3;0;34;68;2;False
2023-01-10;4;0;33;71;4;False
2023-01-11;3;0;35;65;4;False
2023-01-12;4;0;40;68;4;False
2023-01-13;4;0;41;62;3;False
2023-01-14;6;0;100;53;3;False
2023-01-15;5;0;57;54;3;False
2023-01-16;3;0;35;66;3;False
2023-01-17;3;0;33;70;3;False
2023-01-18;2;0;29;67;4;False
2023-01-19;2;0;31;66;4;False
2023-01-20;4;0;38;59;3;False
2023-01-21;7;0;51;51;3;False
2023-01-22;3;0;39;52;3;False
2023-01-23;2;0;31;70;4;False
2023-01-24;2;0;32;67;3;False
2023-01-25;2;0;31;62;4;False
2023-01-26;2;0;28;64;3;False
2023-01-27;6;0;35;52;2;False
2023-01-28;5;0;50;50;3;False
2023-01-29;3;0;41;50;3;False
2023-01-30;4;0;32;69;5;False
2023-01-31;2;1;31;64;4;False
