date;Iain Duncan Smith;Roe v Wade;cop15;Skirts;air travel;isPartial
2022-01-02;1;0;0;29;15;False
2022-01-09;2;1;0;30;16;False
2022-01-16;1;1;0;27;13;False
2022-01-23;1;1;0;32;14;False
2022-01-30;1;1;0;36;16;False
2022-02-06;2;1;0;30;16;False
2022-02-13;1;0;0;30;16;False
2022-02-20;1;0;0;33;16;False
2022-02-27;0;0;0;32;14;False
2022-03-06;0;1;0;33;15;False
2022-03-13;0;0;0;38;15;False
2022-03-20;0;1;0;45;15;False
2022-03-27;1;1;0;36;16;False
2022-04-03;0;0;0;35;14;False
2022-04-10;0;0;0;41;12;False
2022-04-17;0;0;0;40;14;False
2022-04-24;1;1;0;38;14;False
2022-05-01;1;65;0;42;15;False
2022-05-08;1;14;1;44;15;False
2022-05-15;1;5;0;46;16;False
2022-05-22;1;3;0;43;15;False
2022-05-29;0;2;0;41;15;False
2022-06-05;2;3;0;40;17;False
2022-06-12;0;3;0;48;15;False
2022-06-19;1;100;0;47;14;False
2022-06-26;1;80;0;43;15;False
2022-07-03;1;14;0;43;15;False
2022-07-10;1;6;0;56;16;False
2022-07-17;2;4;0;54;15;False
2022-07-24;1;3;0;42;15;False
2022-07-31;0;3;0;40;14;False
2022-08-07;1;2;0;44;13;False
2022-08-14;0;1;1;38;13;False
2022-08-21;1;2;0;40;11;False
2022-08-28;1;1;0;41;12;False
2022-09-04;4;2;0;37;13;False
2022-09-11;1;1;0;35;12;False
2022-09-18;1;2;0;33;11;False
2022-09-25;0;2;0;38;11;False
2022-10-02;2;2;1;39;11;False
2022-10-09;1;1;1;36;10;False
2022-10-16;3;2;1;35;10;False
2022-10-23;6;1;0;37;9;False
2022-10-30;0;2;1;35;9;False
2022-11-06;0;3;1;39;10;False
2022-11-13;2;2;1;35;8;False
2022-11-20;1;1;1;35;10;False
2022-11-27;1;2;2;39;10;False
2022-12-04;1;2;3;35;9;False
2022-12-11;0;1;3;27;9;False
2022-12-18;0;1;4;26;8;False
2022-12-25;0;4;0;31;11;False
2023-01-01;0;3;1;28;13;False
2023-01-08;0;2;1;26;12;False
2023-01-15;0;1;1;27;11;False
2023-01-22;1;2;1;32;11;False
2023-01-29;0;1;1;31;11;False
