date;Latvia;New England Patriots;Ageing;Uber;air travel;isPartial
2023-01-01;5;3;2;100;4;False
2023-01-02;4;0;3;75;5;False
2023-01-03;6;0;2;63;3;False
2023-01-04;5;1;2;59;5;False
2023-01-05;4;1;3;58;4;False
2023-01-06;5;0;3;77;4;False
2023-01-07;4;1;3;76;3;False
2023-01-08;4;4;4;66;5;False
2023-01-09;4;1;3;56;3;False
2023-01-10;5;1;3;57;4;False
2023-01-11;5;0;4;56;5;False
2023-01-12;5;0;3;60;4;False
2023-01-13;10;1;2;72;3;False
2023-01-14;5;1;2;80;3;False
2023-01-15;5;1;4;79;4;False
2023-01-16;5;1;3;60;4;False
2023-01-17;5;0;4;59;3;False
2023-01-18;6;1;5;57;5;False
2023-01-19;5;0;3;70;4;False
2023-01-20;5;0;4;82;3;False
2023-01-21;4;1;2;88;4;False
2023-01-22;5;1;4;79;4;False
2023-01-23;6;1;3;61;4;False
2023-01-24;6;1;2;60;3;False
2023-01-25;6;0;4;56;4;False
2023-01-26;6;0;3;62;4;False
2023-01-27;5;0;3;85;3;False
2023-01-28;5;1;3;88;4;False
2023-01-29;4;0;4;80;3;False
2023-01-30;6;1;4;66;6;False
2023-01-31;4;0;3;61;5;False
