date;Universities;Foo Fighters;GPs;World Health Organization;air travel;isPartial
2022-01-02;15;4;22;1;5;False
2022-01-09;18;5;20;1;6;False
2022-01-16;17;4;20;1;4;False
2022-01-23;18;4;19;1;5;False
2022-01-30;16;5;19;1;5;False
2022-02-06;15;4;18;1;6;False
2022-02-13;14;6;16;1;6;False
2022-02-20;15;6;16;1;6;False
2022-02-27;16;5;17;1;5;False
2022-03-06;14;4;18;1;5;False
2022-03-13;15;4;18;1;5;False
2022-03-20;15;100;18;1;5;False
2022-03-27;14;70;17;1;5;False
2022-04-03;13;12;15;1;5;False
2022-04-10;13;7;16;1;4;False
2022-04-17;13;6;16;1;5;False
2022-04-24;14;5;16;1;5;False
2022-05-01;15;5;18;1;5;False
2022-05-08;15;4;17;1;5;False
2022-05-15;15;7;17;1;5;False
2022-05-22;15;4;16;1;5;False
2022-05-29;15;4;17;1;5;False
2022-06-05;15;14;18;1;6;False
2022-06-12;15;18;17;1;5;False
2022-06-19;16;8;17;1;5;False
2022-06-26;15;8;17;1;5;False
2022-07-03;14;4;18;0;5;False
2022-07-10;13;4;20;1;5;False
2022-07-17;12;4;17;1;5;False
2022-07-24;13;3;18;1;5;False
2022-07-31;12;3;16;1;5;False
2022-08-07;14;4;17;0;5;False
2022-08-14;23;5;15;1;4;False
2022-08-21;20;5;18;0;4;False
2022-08-28;16;20;18;0;4;False
2022-09-04;19;28;17;1;5;False
2022-09-11;21;6;18;1;4;False
2022-09-18;21;5;17;1;4;False
2022-09-25;20;5;16;1;4;False
2022-10-02;19;5;16;1;4;False
2022-10-09;18;5;15;1;4;False
2022-10-16;18;3;15;1;3;False
2022-10-23;16;4;14;1;3;False
2022-10-30;16;4;15;1;3;False
2022-11-06;18;4;15;1;3;False
2022-11-13;16;3;17;1;3;False
2022-11-20;14;3;17;1;4;False
2022-11-27;15;3;16;1;3;False
2022-12-04;13;3;15;1;3;False
2022-12-11;13;3;14;1;3;False
2022-12-18;11;4;14;0;3;False
2022-12-25;10;6;15;0;4;False
2023-01-01;14;9;17;1;4;False
2023-01-08;17;7;16;1;4;False
2023-01-15;17;5;16;1;4;False
2023-01-22;18;4;17;1;4;False
2023-01-29;16;3;17;1;4;False
