date;Everton Women;hillsborough report;Cyprus;Boston Celtics;air travel;isPartial
2022-01-02;0;2;59;2;8;False
2022-01-09;0;1;85;2;9;False
2022-01-16;0;0;72;2;7;False
2022-01-23;0;0;79;2;7;False
2022-01-30;0;0;79;2;8;False
2022-02-06;1;0;93;3;8;False
2022-02-13;0;0;71;2;8;False
2022-02-20;0;0;82;2;8;False
2022-02-27;0;0;84;2;7;False
2022-03-06;1;0;73;2;8;False
2022-03-13;1;0;78;2;8;False
2022-03-20;1;0;89;3;8;False
2022-03-27;1;0;90;3;8;False
2022-04-03;1;0;91;2;7;False
2022-04-10;0;0;95;3;6;False
2022-04-17;0;0;91;5;7;False
2022-04-24;1;0;88;4;7;False
2022-05-01;1;0;100;4;7;False
2022-05-08;0;0;93;6;8;False
2022-05-15;1;0;85;8;8;False
2022-05-22;0;0;89;7;8;False
2022-05-29;0;0;93;10;8;False
2022-06-05;0;0;91;9;9;False
2022-06-12;0;0;92;9;7;False
2022-06-19;0;0;89;2;7;False
2022-06-26;0;0;84;2;7;False
2022-07-03;0;0;92;1;8;False
2022-07-10;0;0;89;1;8;False
2022-07-17;0;0;94;1;8;False
2022-07-24;0;0;87;1;8;False
2022-07-31;1;0;91;1;7;False
2022-08-07;0;0;88;1;7;False
2022-08-14;0;0;88;1;7;False
2022-08-21;0;0;78;1;6;False
2022-08-28;1;0;85;1;6;False
2022-09-04;0;0;84;1;7;False
2022-09-11;0;0;78;1;6;False
2022-09-18;1;0;75;2;6;False
2022-09-25;4;0;74;1;6;False
2022-10-02;0;0;76;2;6;False
2022-10-09;1;0;69;1;5;False
2022-10-16;1;0;68;3;5;False
2022-10-23;1;0;57;2;5;False
2022-10-30;1;0;68;2;5;False
2022-11-06;0;0;45;2;5;False
2022-11-13;1;0;40;2;4;False
2022-11-20;0;0;35;2;5;False
2022-11-27;1;0;33;3;5;False
2022-12-04;1;0;31;2;4;False
2022-12-11;1;0;34;2;5;False
2022-12-18;0;0;37;2;4;False
2022-12-25;0;0;52;4;6;False
2023-01-01;0;0;71;3;7;False
2023-01-08;0;0;80;3;6;False
2023-01-15;1;0;80;3;6;False
2023-01-22;1;0;70;3;5;False
2023-01-29;1;0;74;2;6;False
