date;Scottish League Cup;Geography and environment studies;germany;Joseph Gordon-Levitt;air travel;isPartial
2022-01-02;0;0;22;0;2;False
2022-01-09;0;0;21;0;2;False
2022-01-16;0;0;19;0;1;False
2022-01-23;0;0;24;0;1;False
2022-01-30;0;0;28;0;2;False
2022-02-06;0;0;24;0;2;False
2022-02-13;0;0;23;0;2;False
2022-02-20;0;0;31;0;2;False
2022-02-27;0;0;26;0;2;False
2022-03-06;0;0;24;0;2;False
2022-03-13;1;0;23;0;2;False
2022-03-20;0;0;22;0;2;False
2022-03-27;0;0;25;0;2;False
2022-04-03;0;0;21;0;1;False
2022-04-10;0;0;20;0;1;False
2022-04-17;1;0;21;0;1;False
2022-04-24;0;0;22;0;1;False
2022-05-01;1;0;23;0;2;False
2022-05-08;1;0;24;0;2;False
2022-05-15;1;0;24;0;2;False
2022-05-22;0;0;21;0;2;False
2022-05-29;0;0;26;0;2;False
2022-06-05;0;0;77;0;2;False
2022-06-12;0;0;26;0;2;False
2022-06-19;0;0;22;0;1;False
2022-06-26;0;0;19;0;2;False
2022-07-03;0;0;22;0;2;False
2022-07-10;1;0;24;0;2;False
2022-07-17;1;0;24;0;2;False
2022-07-24;1;0;46;0;2;False
2022-07-31;0;0;95;0;1;False
2022-08-07;0;0;21;0;1;False
2022-08-14;0;0;19;0;1;False
2022-08-21;0;0;19;0;1;False
2022-08-28;2;0;21;0;1;False
2022-09-04;0;0;22;0;1;False
2022-09-11;0;0;21;0;1;False
2022-09-18;0;0;24;0;1;False
2022-09-25;0;0;74;0;1;False
2022-10-02;0;0;21;0;1;False
2022-10-09;0;0;20;0;1;False
2022-10-16;2;0;19;0;1;False
2022-10-23;0;0;19;0;1;False
2022-10-30;0;0;21;0;1;False
2022-11-06;0;0;23;0;1;False
2022-11-13;0;0;25;0;1;False
2022-11-20;0;0;69;0;1;False
2022-11-27;0;0;100;0;1;False
2022-12-04;0;0;28;0;1;False
2022-12-11;0;0;20;0;1;False
2022-12-18;0;0;19;0;1;False
2022-12-25;0;0;16;0;1;False
2023-01-01;0;0;18;0;1;False
2023-01-08;2;0;19;0;1;False
2023-01-15;2;0;20;0;1;False
2023-01-22;1;0;20;0;1;False
2023-01-29;0;0;20;0;1;False
