date;Stevenage;Chelsea Women;Bees;Iceland;air travel;isPartial
2022-01-02;16;1;9;68;3;False
2022-01-09;14;1;8;56;3;False
2022-01-16;14;1;8;58;2;False
2022-01-23;14;2;9;58;2;False
2022-01-30;15;1;9;60;3;False
2022-02-06;15;2;8;54;3;False
2022-02-13;17;1;8;56;3;False
2022-02-20;16;1;9;57;3;False
2022-02-27;18;2;8;55;2;False
2022-03-06;14;1;9;53;3;False
2022-03-13;16;1;11;51;3;False
2022-03-20;17;1;12;52;2;False
2022-03-27;14;1;10;52;3;False
2022-04-03;16;1;9;58;2;False
2022-04-10;17;1;12;67;2;False
2022-04-17;17;1;12;57;2;False
2022-04-24;16;1;11;51;2;False
2022-05-01;18;2;13;53;2;False
2022-05-08;16;2;14;52;3;False
2022-05-15;16;3;16;62;3;False
2022-05-22;16;0;15;57;2;False
2022-05-29;23;0;16;59;3;False
2022-06-05;16;0;15;52;3;False
2022-06-12;16;0;16;57;2;False
2022-06-19;16;1;14;58;2;False
2022-06-26;17;0;12;52;2;False
2022-07-03;17;0;13;55;3;False
2022-07-10;18;1;14;71;3;False
2022-07-17;20;1;12;64;3;False
2022-07-24;17;1;11;55;3;False
2022-07-31;17;1;11;62;2;False
2022-08-07;17;1;12;73;2;False
2022-08-14;18;1;10;59;2;False
2022-08-21;16;1;9;60;2;False
2022-08-28;18;1;10;61;2;False
2022-09-04;16;1;9;56;2;False
2022-09-11;16;1;10;60;2;False
2022-09-18;20;2;9;61;2;False
2022-09-25;15;3;9;62;2;False
2022-10-02;16;2;8;65;2;False
2022-10-09;15;1;9;54;2;False
2022-10-16;16;2;8;61;2;False
2022-10-23;16;2;8;60;1;False
2022-10-30;15;2;7;60;1;False
2022-11-06;16;2;7;64;2;False
2022-11-13;15;2;8;61;1;False
2022-11-20;15;3;7;59;2;False
2022-11-27;14;1;7;64;2;False
2022-12-04;14;2;7;61;1;False
2022-12-11;17;2;8;72;1;False
2022-12-18;16;2;7;100;1;False
2022-12-25;19;2;7;66;2;False
2023-01-01;19;1;8;71;2;False
2023-01-08;31;1;8;62;2;False
2023-01-15;18;2;8;65;2;False
2023-01-22;17;2;8;64;2;False
2023-01-29;20;1;8;60;2;False
