date;Radio 2;Evolution;England rugby union team;History of art;air travel;isPartial
2022-01-02;38;50;0;2;8;False
2022-01-09;41;46;0;2;9;False
2022-01-16;40;40;0;1;7;False
2022-01-23;38;49;0;1;8;False
2022-01-30;41;69;0;1;9;False
2022-02-06;37;52;0;2;9;False
2022-02-13;36;51;0;1;9;False
2022-02-20;35;48;0;2;9;False
2022-02-27;33;53;0;1;8;False
2022-03-06;37;49;1;2;8;False
2022-03-13;36;43;0;2;8;False
2022-03-20;39;44;0;1;8;False
2022-03-27;35;41;0;2;8;False
2022-04-03;42;42;0;1;8;False
2022-04-10;36;44;0;1;7;False
2022-04-17;32;43;0;2;7;False
2022-04-24;35;41;0;1;8;False
2022-05-01;33;43;0;2;8;False
2022-05-08;38;42;0;2;8;False
2022-05-15;38;44;0;2;8;False
2022-05-22;39;42;0;2;8;False
2022-05-29;36;45;0;1;8;False
2022-06-05;38;46;0;1;9;False
2022-06-12;52;48;0;1;8;False
2022-06-19;40;47;0;2;7;False
2022-06-26;45;40;0;1;8;False
2022-07-03;43;38;0;1;8;False
2022-07-10;39;38;0;1;9;False
2022-07-17;38;37;0;1;8;False
2022-07-24;40;41;0;1;8;False
2022-07-31;47;40;0;1;7;False
2022-08-07;46;44;0;1;7;False
2022-08-14;43;38;0;1;7;False
2022-08-21;44;40;0;1;6;False
2022-08-28;44;41;0;2;7;False
2022-09-04;53;39;0;2;7;False
2022-09-11;39;40;1;2;6;False
2022-09-18;39;43;0;3;6;False
2022-09-25;51;40;0;2;6;False
2022-10-02;46;40;0;2;6;False
2022-10-09;38;38;0;2;6;False
2022-10-16;39;35;0;2;5;False
2022-10-23;36;37;0;1;5;False
2022-10-30;40;36;0;2;5;False
2022-11-06;40;46;1;2;5;False
2022-11-13;48;79;1;2;4;False
2022-11-20;32;100;0;2;6;False
2022-11-27;33;88;0;2;5;False
2022-12-04;35;59;0;2;5;False
2022-12-11;36;58;0;1;5;False
2022-12-18;39;51;0;1;4;False
2022-12-25;32;84;0;1;6;False
2023-01-01;33;66;0;2;7;False
2023-01-08;35;56;0;2;6;False
2023-01-15;51;55;0;2;6;False
2023-01-22;39;44;0;2;6;False
2023-01-29;42;50;1;2;6;False
