date;Language;Volcanoes;Harvey Weinstein;Vocational education;air travel;isPartial
2022-01-02;60;2;1;0;3;False
2022-01-09;63;2;1;0;3;False
2022-01-16;60;3;1;0;2;False
2022-01-23;68;2;1;0;3;False
2022-01-30;66;2;1;0;3;False
2022-02-06;65;2;1;0;3;False
2022-02-13;63;2;1;0;3;False
2022-02-20;70;2;1;0;3;False
2022-02-27;74;2;1;0;3;False
2022-03-06;70;2;1;0;3;False
2022-03-13;71;2;0;0;3;False
2022-03-20;71;2;0;0;3;False
2022-03-27;73;2;2;0;3;False
2022-04-03;64;1;1;0;3;False
2022-04-10;55;1;1;0;2;False
2022-04-17;64;1;1;0;3;False
2022-04-24;77;1;1;0;3;False
2022-05-01;76;2;1;0;3;False
2022-05-08;81;2;1;0;3;False
2022-05-15;100;2;1;0;3;False
2022-05-22;68;2;1;0;3;False
2022-05-29;53;1;1;0;3;False
2022-06-05;80;1;2;0;3;False
2022-06-12;61;2;1;0;3;False
2022-06-19;58;1;1;0;3;False
2022-06-26;59;1;1;0;3;False
2022-07-03;58;1;1;0;3;False
2022-07-10;54;1;1;0;3;False
2022-07-17;53;1;1;0;3;False
2022-07-24;48;1;1;0;3;False
2022-07-31;52;1;1;0;3;False
2022-08-07;53;1;0;0;2;False
2022-08-14;51;0;1;0;2;False
2022-08-21;55;1;1;0;2;False
2022-08-28;52;1;1;0;2;False
2022-09-04;62;1;1;0;2;False
2022-09-11;68;2;1;0;2;False
2022-09-18;66;2;1;0;2;False
2022-09-25;71;2;1;0;2;False
2022-10-02;67;2;1;0;2;False
2022-10-09;71;2;1;0;2;False
2022-10-16;63;2;1;0;2;False
2022-10-23;57;1;2;0;2;False
2022-10-30;64;2;1;0;2;False
2022-11-06;69;2;1;0;2;False
2022-11-13;67;2;1;0;2;False
2022-11-20;70;2;2;0;2;False
2022-11-27;76;2;2;0;2;False
2022-12-04;67;2;2;0;2;False
2022-12-11;61;2;1;0;2;False
2022-12-18;57;1;3;0;2;False
2022-12-25;50;1;1;0;2;False
2023-01-01;62;2;1;0;2;False
2023-01-08;72;2;1;0;2;False
2023-01-15;71;2;1;0;2;False
2023-01-22;71;2;1;0;2;False
2023-01-29;70;2;1;0;2;False
