date;Kylie Jenner;Pensions industry;Gibraltar;Nan Goldin;air travel;isPartial
2022-01-02;42;0;33;0;17;False
2022-01-09;39;0;33;1;19;False
2022-01-16;29;0;34;1;14;False
2022-01-23;31;0;37;0;16;False
2022-01-30;36;0;34;0;18;False
2022-02-06;100;0;35;0;18;False
2022-02-13;41;0;33;0;18;False
2022-02-20;33;0;40;1;18;False
2022-02-27;26;0;36;1;16;False
2022-03-06;35;0;35;0;17;False
2022-03-13;27;0;40;0;17;False
2022-03-20;65;0;58;1;16;False
2022-03-27;32;0;40;1;17;False
2022-04-03;35;0;38;0;16;False
2022-04-10;45;0;39;0;14;False
2022-04-17;54;0;37;1;15;False
2022-04-24;36;0;36;1;16;False
2022-05-01;69;0;42;0;16;False
2022-05-08;42;0;36;1;17;False
2022-05-15;37;0;37;1;17;False
2022-05-22;38;0;41;1;16;False
2022-05-29;33;0;36;1;17;False
2022-06-05;42;0;42;1;19;False
2022-06-12;29;0;44;0;16;False
2022-06-19;28;0;39;1;15;False
2022-06-26;24;0;41;0;16;False
2022-07-03;20;0;37;0;17;False
2022-07-10;24;0;41;0;18;False
2022-07-17;29;0;38;0;17;False
2022-07-24;27;0;40;0;17;False
2022-07-31;34;0;40;0;15;False
2022-08-07;43;0;38;0;15;False
2022-08-14;28;0;35;0;14;False
2022-08-21;25;0;36;0;13;False
2022-08-28;23;0;45;0;14;False
2022-09-04;24;0;40;0;15;False
2022-09-11;24;0;38;1;13;False
2022-09-18;27;0;35;1;13;False
2022-09-25;29;0;37;0;13;False
2022-10-02;27;0;32;0;12;False
2022-10-09;24;0;36;0;12;False
2022-10-16;29;0;35;0;11;False
2022-10-23;43;0;32;1;10;False
2022-10-30;26;0;30;0;10;False
2022-11-06;25;0;28;1;11;False
2022-11-13;24;0;28;1;9;False
2022-11-20;29;0;25;1;12;False
2022-11-27;27;0;26;0;11;False
2022-12-04;19;0;29;1;10;False
2022-12-11;20;0;27;1;10;False
2022-12-18;24;0;25;1;9;False
2022-12-25;25;0;28;1;12;False
2023-01-01;23;0;29;0;14;False
2023-01-08;26;0;33;1;13;False
2023-01-15;27;0;31;2;13;False
2023-01-22;56;0;40;4;12;False
2023-01-29;32;0;29;5;13;False
