date;Ipswich Town;Costa Rica;novak djokovic;plastics;air travel;isPartial
2022-01-02;8;17;45;8;5;False
2022-01-09;8;18;82;9;6;False
2022-01-16;9;16;27;10;4;False
2022-01-23;12;17;5;10;5;False
2022-01-30;9;16;7;10;5;False
2022-02-06;10;15;2;10;6;False
2022-02-13;7;14;6;8;6;False
2022-02-20;11;15;7;10;6;False
2022-02-27;6;15;2;10;5;False
2022-03-06;12;13;2;10;5;False
2022-03-13;7;13;1;10;5;False
2022-03-20;9;14;2;10;5;False
2022-03-27;9;16;1;10;5;False
2022-04-03;6;15;1;9;5;False
2022-04-10;7;13;3;8;4;False
2022-04-17;8;12;4;10;5;False
2022-04-24;8;11;2;10;5;False
2022-05-01;5;12;6;10;5;False
2022-05-08;4;11;5;10;5;False
2022-05-15;4;11;3;10;5;False
2022-05-22;4;10;6;10;5;False
2022-05-29;5;10;8;7;5;False
2022-06-05;5;12;2;9;6;False
2022-06-12;6;14;2;9;5;False
2022-06-19;7;11;2;9;5;False
2022-06-26;6;11;18;8;5;False
2022-07-03;5;10;48;9;5;False
2022-07-10;9;11;46;9;5;False
2022-07-17;7;11;3;9;5;False
2022-07-24;12;11;3;9;5;False
2022-07-31;9;10;3;9;5;False
2022-08-07;14;11;2;9;5;False
2022-08-14;12;9;4;8;4;False
2022-08-21;13;10;4;9;4;False
2022-08-28;15;10;2;8;4;False
2022-09-04;7;10;1;9;5;False
2022-09-11;15;9;2;9;4;False
2022-09-18;9;13;3;9;4;False
2022-09-25;15;10;4;9;4;False
2022-10-02;15;9;4;9;4;False
2022-10-09;11;9;2;9;4;False
2022-10-16;16;9;1;9;3;False
2022-10-23;14;9;1;8;3;False
2022-10-30;7;11;4;8;3;False
2022-11-06;17;13;4;9;3;False
2022-11-13;9;15;4;9;3;False
2022-11-20;9;82;3;7;4;False
2022-11-27;13;100;1;9;3;False
2022-12-04;9;14;1;8;3;False
2022-12-11;9;12;1;7;3;False
2022-12-18;6;12;1;6;3;False
2022-12-25;16;13;1;4;4;False
2023-01-01;16;15;4;7;4;False
2023-01-08;15;14;4;9;4;False
2023-01-15;11;14;9;9;4;False
2023-01-22;16;14;13;9;4;False
2023-01-29;12;15;12;9;4;False
