date;Leicestershire;Jeremy Hardy;Merrick Garland;Court of appeal;air travel;isPartial
2022-01-02;88;2;0;7;31;False
2022-01-09;89;0;0;8;36;False
2022-01-16;87;0;0;7;26;False
2022-01-23;88;3;0;7;29;False
2022-01-30;91;1;0;7;33;False
2022-02-06;90;0;0;7;33;False
2022-02-13;85;4;0;7;33;False
2022-02-20;79;2;1;7;34;False
2022-02-27;80;1;0;7;30;False
2022-03-06;79;1;0;6;31;False
2022-03-13;83;1;0;7;31;False
2022-03-20;90;1;0;6;30;False
2022-03-27;86;0;0;6;32;False
2022-04-03;80;1;1;6;29;False
2022-04-10;83;0;1;5;25;False
2022-04-17;83;1;0;4;28;False
2022-04-24;86;3;0;7;29;False
2022-05-01;88;0;1;6;30;False
2022-05-08;97;1;0;7;31;False
2022-05-15;86;0;1;6;32;False
2022-05-22;89;0;0;6;30;False
2022-05-29;96;0;1;2;31;False
2022-06-05;94;0;1;7;34;False
2022-06-12;85;0;1;10;30;False
2022-06-19;100;0;1;6;28;False
2022-06-26;97;0;1;6;30;False
2022-07-03;91;0;1;5;32;False
2022-07-10;95;1;1;7;33;False
2022-07-17;96;1;1;5;31;False
2022-07-24;88;1;1;7;31;False
2022-07-31;90;0;0;8;28;False
2022-08-07;96;1;11;4;27;False
2022-08-14;90;0;3;3;27;False
2022-08-21;98;0;0;3;23;False
2022-08-28;90;0;3;3;25;False
2022-09-04;89;1;0;3;27;False
2022-09-11;86;0;0;4;24;False
2022-09-18;93;1;0;5;23;False
2022-09-25;84;0;1;7;24;False
2022-10-02;83;0;0;8;23;False
2022-10-09;80;0;0;9;22;False
2022-10-16;80;2;0;8;20;False
2022-10-23;82;1;8;6;18;False
2022-10-30;80;1;0;6;18;False
2022-11-06;75;1;0;7;20;False
2022-11-13;79;0;2;5;17;False
2022-11-20;68;0;1;6;22;False
2022-11-27;72;1;0;7;21;False
2022-12-04;70;1;0;10;18;False
2022-12-11;74;1;0;5;18;False
2022-12-18;70;1;0;5;17;False
2022-12-25;61;0;1;2;23;False
2023-01-01;84;0;1;4;26;False
2023-01-08;84;1;1;6;24;False
2023-01-15;84;1;1;8;24;False
2023-01-22;82;0;1;7;22;False
2023-01-29;83;1;0;7;24;False
